"Rank","Player","REC","TGT","YDS","Y/R","LG","20+","TD","ATT","YDS","TD","FL","G","FPTS","FPTS/G","ROST"
"1","Cooper Kupp (LAR)","10","13","156","15.6","59","0","2","0","0","0","0","1","37.6","37.6","100.0%"
"2","Ja'Marr Chase (CIN)","8","10","201","25.1","82","0","1","0","0","0","0","1","34.1","34.1","98.5%"
"3","Mike Evans (TB)","6","10","76","12.7","46","0","3","0","0","0","0","1","31.6","31.6","99.0%"
"4","A.J. Brown (TEN)","8","9","133","16.6","46","0","1","0","0","0","0","1","27.3","27.3","90.7%"
"5","Terry McLaurin (WAS)","7","12","122","17.4","40","0","1","0","0","0","0","1","25.2","25.2","98.9%"
"6","Chris Godwin (TB)","8","11","111","13.9","34","0","1","0","0","0","0","1","25.1","25.1","98.9%"
"7","Deebo Samuel (SF)","7","11","100","14.3","29","0","1","0","0","0","1","1","21.0","21.0","98.4%"
"8","Michael Pittman Jr. (IND)","4","4","105","26.3","57","0","1","0","0","0","0","1","20.5","20.5","92.4%"
"9","Davante Adams (GB)","6","7","76","12.7","26","0","1","0","0","0","0","1","19.6","19.6","100.0%"
"10","Marquise Brown (BAL)","5","14","80","16.0","39","0","1","0","0","0","0","1","19.0","19.0","94.4%"
"11","DeAndre Hopkins (ARI)","7","9","53","7.6","15","0","1","0","0","0","0","1","18.3","18.3","99.3%"
"12","D.K. Metcalf (SEA)","2","5","96","48.0","84","0","1","0","0","0","0","1","17.6","17.6","99.7%"
"13","Kalif Raymond (DET)","6","8","115","19.2","37","0","0","1","1","0","0","1","17.6","17.6","4.0%"
"14","Allen Lazard (GB)","5","6","60","12.0","19","0","1","0","0","0","0","1","17.0","17.0","4.0%"
"15","Russell Gage (ATL)","4","6","67","16.8","49","0","1","0","0","0","0","1","16.7","16.7","48.8%"
"16","Kendrick Bourne (NE)","4","4","68","17.0","46","0","0","0","0","0","0","1","15.8","15.8","29.0%"
"17","Dante Pettis (NYG)","5","5","39","7.8","27","0","1","0","0","0","0","1","15.5","15.5","0.2%"
"18","Jaylen Waddle (MIA)","7","8","83","11.9","19","0","0","0","0","0","0","1","15.3","15.3","92.8%"
"19","Christian Kirk (ARI)","4","5","50","12.5","19","0","1","0","0","0","0","1","15.0","15.0","59.4%"
"20","Robert Woods (LAR)","6","6","70","11.7","22","0","0","0","0","0","0","1","15.0","15.0","31.9%"
"21","Corey Davis (NYJ)","4","6","47","11.8","22","0","1","0","0","0","0","1","14.7","14.7","36.6%"
"22","Van Jefferson (LAR)","4","7","43","10.8","22","0","1","0","0","0","0","1","14.3","14.3","71.2%"
"23","D.J. Moore (CAR)","6","10","73","12.2","21","0","0","0","0","0","0","1","13.3","13.3","97.0%"
"24","Bryan Edwards (LV)","3","4","43","14.3","24","0","1","0","0","0","0","1","13.3","13.3","9.6%"
"25","Tee Higgins (CIN)","7","15","62","8.9","11","0","0","0","0","0","0","1","13.2","13.2","93.5%"
"26","Nelson Agholor (NE)","2","5","51","25.5","26","0","1","0","0","0","0","1","13.1","13.1","15.1%"
"27","Hunter Renfrow (LV)","7","8","58","8.3","16","0","0","0","0","0","0","1","12.8","12.8","85.6%"
"28","Tyreek Hill (KC)","6","9","49","8.2","17","0","0","1","18","0","0","1","12.7","12.7","100.0%"
"29","Calvin Ridley (ATL)","4","10","26","6.5","11","0","1","0","0","0","0","1","12.6","12.6","67.1%"
"30","Byron Pringle (KC)","5","6","73","14.6","25","0","0","0","0","0","0","1","12.3","12.3","1.0%"
"31","Courtland Sutton (DEN)","5","5","68","13.6","31","0","0","0","0","0","0","1","11.8","11.8","77.0%"
"32","Darius Slayton (NYG)","5","9","63","12.6","16","0","0","0","0","0","0","1","11.3","11.3","4.7%"
"33","DeVonta Smith (PHI)","5","9","61","12.2","20","0","0","0","0","0","0","1","11.1","11.1","85.5%"
"34","Rashod Bateman (BAL)","3","6","80","26.7","35","0","0","0","0","0","0","1","11.0","11.0","30.5%"
"35","Jalen Reagor (PHI)","2","2","25","12.5","17","0","1","1","0","0","0","1","10.5","10.5","13.6%"
"36","Elijah Moore (NYJ)","1","6","13","13.0","13","0","0","1","19","1","0","1","10.2","10.2","65.7%"
"37","A.J. Green (ARI)","3","3","66","22.0","41","0","0","0","0","0","0","1","9.6","9.6","33.5%"
"38","Jakobi Meyers (NE)","5","7","44","8.8","19","0","0","0","0","0","0","1","9.4","9.4","63.1%"
"39","Mack Hollins (MIA)","2","3","13","6.5","9","0","1","0","0","0","0","1","9.3","9.3","0.2%"
"40","Jarvis Landry (CLE)","5","8","37","7.4","14","0","0","0","0","0","0","1","8.7","8.7","76.4%"
"41","Freddie Swain (SEA)","4","6","39","9.8","28","0","0","1","8","0","0","1","8.7","8.7","0.3%"
"42","Isaiah Ford (MIA)","1","1","10","10.0","10","0","1","0","0","0","0","1","8.0","8.0","0.0%"
"43","Tyler Boyd (CIN)","4","7","39","9.8","25","0","0","0","0","0","0","1","7.9","7.9","65.3%"
"44","Jamison Crowder (NYJ)","4","6","34","8.5","21","0","0","0","0","0","0","1","7.4","7.4","34.4%"
"45","Henry Ruggs III (FA)","4","4","24","6.0","10","0","0","1","7","0","0","1","7.1","7.1","10.9%"
"46","Brandin Cooks (HOU)","5","7","21","4.2","18","0","0","0","0","0","0","1","7.1","7.1","91.5%"
"47","Adam Humphries (WAS)","3","4","36","12.0","17","0","0","0","0","0","0","1","6.6","6.6","0.3%"
"48","Marquez Callaway (NO)","3","7","32","10.7","14","0","0","0","0","0","0","1","6.2","6.2","27.9%"
"49","Darnell Mooney (CHI)","2","5","39","19.5","22","0","0","0","0","0","0","1","5.9","5.9","78.0%"
"50","Julio Jones (TEN)","2","4","38","19.0","20","0","0","0","0","0","0","1","5.8","5.8","75.8%"
"51","Quez Watkins (PHI)","2","4","37","18.5","27","0","0","0","0","0","0","1","5.7","5.7","1.4%"
"52","Josh Reynolds (DET)","3","3","23","7.7","11","0","0","0","0","0","0","1","5.3","5.3","5.7%"
"53","Zay Jones (LV)","1","1","43","43.0","43","0","0","0","0","0","0","1","5.3","5.3","1.1%"
"54","Randall Cobb (GB)","3","4","22","7.3","15","0","0","0","0","0","0","1","5.2","5.2","9.9%"
"55","Nico Collins (HOU)","2","5","28","14.0","22","0","0","0","0","0","0","1","4.8","4.8","1.1%"
"56","Mecole Hardman (KC)","4","5","28","7.0","9","0","0","0","0","0","1","1","4.8","4.8","30.8%"
"57","Danny Amendola (HOU)","3","5","17","5.7","10","0","0","0","0","0","0","1","4.7","4.7","0.1%"
"58","John Ross (NYG)","2","2","27","13.5","15","0","0","0","0","0","0","1","4.7","4.7","0.1%"
"59","Keith Kirkwood (CAR)","3","5","17","5.7","7","0","0","0","0","0","0","1","4.7","4.7","0.0%"
"60","Robby Anderson (CAR)","3","9","14","4.7","5","0","0","0","0","0","0","1","4.4","4.4","40.0%"
"61","Zach Pascal (IND)","3","6","14","4.7","13","0","0","0","0","0","0","1","4.4","4.4","4.2%"
"62","Odell Beckham Jr. (LAR)","2","6","23","11.5","17","0","0","0","0","0","0","1","4.3","4.3","90.4%"
"63","DeAndre Carter (WAS)","1","1","4","4.0","4","0","0","1","27","0","0","1","4.1","4.1","2.5%"
"64","Anthony Schwartz (CLE)","2","3","22","11.0","16","0","0","1","-2","0","0","1","4.0","4.0","0.3%"
"65","N'Keal Harry (NE)","1","2","28","28.0","28","0","0","0","0","0","0","1","3.8","3.8","0.2%"
"66","Tajae Sharpe (ATL)","2","2","18","9.0","12","0","0","0","0","0","0","1","3.8","3.8","1.2%"
"67","Rondale Moore (ARI)","2","3","17","8.5","16","0","0","0","0","0","0","1","3.7","3.7","20.2%"
"68","Tyler Johnson (TB)","2","2","16","8.0","12","0","0","0","0","0","0","1","3.6","3.6","1.2%"
"69","Marquise Goodwin (CHI)","2","4","16","8.0","12","0","0","0","0","0","0","1","3.6","3.6","0.7%"
"70","Dax Milne (WAS)","2","4","16","8.0","13","0","0","0","0","0","0","1","3.6","3.6","0.0%"
"71","Tim Patrick (DEN)","2","5","16","8.0","9","0","0","0","0","0","0","1","3.6","3.6","20.7%"
"72","Allen Robinson II (CHI)","2","4","16","8.0","12","0","0","0","0","0","0","1","3.6","3.6","60.8%"
"73","Kendall Hinton (DEN)","2","2","15","7.5","11","0","0","0","0","0","0","1","3.5","3.5","0.0%"
"74","Tyler Lockett (SEA)","2","3","12","6.0","7","0","0","0","0","0","0","1","3.2","3.2","97.6%"
"75","Gunner Olszewski (NE)","1","1","22","22.0","22","0","0","0","0","0","0","1","3.2","3.2","0.1%"
"76","Mohamed Sanu Sr. (SF)","1","1","16","16.0","16","0","0","0","0","0","0","1","2.6","2.6","0.1%"
"77","Olamide Zaccheaus (ATL)","1","1","13","13.0","13","0","0","0","0","0","0","1","2.3","2.3","0.8%"
"78","Tre'Quan Smith (NO)","1","3","11","11.0","11","0","0","0","0","0","0","1","2.1","2.1","11.0%"
"79","Damiere Byrd (CHI)","1","1","10","10.0","10","0","0","0","0","0","0","1","2.0","2.0","0.1%"
"80","Ashton Dulin (IND)","2","4","0","0.0","2","0","0","0","0","0","0","1","2.0","2.0","0.1%"
"81","Devin Duvernay (BAL)","1","1","11","11.0","11","0","0","1","-2","0","0","1","1.9","1.9","1.4%"
"82","Brandon Aiyuk (SF)","1","1","6","6.0","6","0","0","1","3","0","0","1","1.9","1.9","88.3%"
"83","Trent Sherfield (SF)","1","2","9","9.0","9","0","0","0","0","0","0","1","1.9","1.9","0.1%"
"84","Marcus Kemp (KC)","1","1","8","8.0","8","0","0","0","0","0","0","1","1.8","1.8","0.0%"
"85","Demarcus Robinson (KC)","1","4","7","7.0","7","0","0","0","0","0","0","1","1.7","1.7","0.8%"
"86","Collin Johnson (NYG)","1","2","7","7.0","7","0","0","0","0","0","0","1","1.7","1.7","0.1%"
"87","Keelan Cole Sr. (NYJ)","1","2","6","6.0","6","0","0","0","0","0","0","1","1.6","1.6","1.0%"
"88","Denzel Mims (NYJ)","1","2","6","6.0","6","0","0","0","0","0","0","1","1.6","1.6","0.7%"
"89","Keke Coutee (IND)","1","1","5","5.0","5","0","0","0","0","0","0","1","1.5","1.5","0.0%"
"90","Preston Williams (MIA)","1","4","5","5.0","5","0","0","0","0","0","0","1","1.5","1.5","0.1%"
"91","Equanimeous St. Brown (GB)","0","1","0","0","0","0","0","1","13","0","0","1","1.3","1.3","0.1%"
"92","KhaDarel Hodge (DET)","1","1","3","3.0","3","0","0","0","0","0","0","1","1.3","1.3","0.1%"
