"Rank","Player","REC","TGT","YDS","Y/R","LG","20+","TD","ATT","YDS","TD","FL","G","FPTS","FPTS/G","ROST"
"1","Tyreek Hill (KC)","11","12","186","16.9","44","0","3","0","0","0","0","1","36.6","36.6","100.0%"
"2","Deebo Samuel (SF)","8","13","156","19.5","76","0","2","1","1","0","0","1","27.7","27.7","98.4%"
"3","Terry McLaurin (WAS)","6","13","123","20.5","33","0","2","0","0","0","0","1","24.3","24.3","98.9%"
"4","D.J. Moore (CAR)","8","12","113","14.1","39","0","2","1","6","0","0","1","23.9","23.9","97.0%"
"5","Randall Cobb (GB)","5","6","69","13.8","25","0","2","0","0","0","0","1","18.9","18.9","10.5%"
"6","Corey Davis (NYJ)","4","7","111","27.8","53","0","1","0","0","0","0","1","17.1","17.1","38.2%"
"7","Kalif Raymond (DET)","3","6","46","15.3","25","0","2","0","0","0","0","1","16.6","16.6","4.0%"
"8","Diontae Johnson (PIT)","9","13","92","10.2","45","0","1","0","0","0","0","1","15.2","15.2","98.0%"
"9","Marquise Brown (BAL)","4","5","91","22.8","49","0","1","0","0","0","0","1","15.1","15.1","94.4%"
"10","Van Jefferson (LAR)","6","6","90","15.0","22","0","1","0","0","0","0","1","15.0","15.0","70.2%"
"11","Justin Jefferson (MIN)","6","7","84","14.0","31","0","1","0","0","0","0","1","14.4","14.4","99.9%"
"12","John Ross (NYG)","3","4","77","25.7","51","0","1","0","0","0","0","1","13.7","13.7","0.1%"
"13","DeVante Parker (MIA)","4","9","77","19.3","42","0","1","0","0","0","0","1","13.7","13.7","48.1%"
"14","Darnell Mooney (CHI)","5","7","125","25.0","64","0","0","1","10","0","0","1","13.5","13.5","77.9%"
"15","Amari Cooper (DAL)","3","3","69","23.0","35","0","1","0","0","0","0","1","12.9","12.9","97.7%"
"16","A.J. Green (ARI)","5","6","67","13.4","41","0","1","0","0","0","0","1","12.7","12.7","33.6%"
"17","D.K. Metcalf (SEA)","4","8","65","16.3","28","0","1","0","0","0","0","1","12.5","12.5","99.7%"
"18","DeVonta Smith (PHI)","7","10","122","17.4","37","0","0","0","0","0","0","1","12.2","12.2","86.1%"
"19","Jamison Crowder (NYJ)","7","9","61","8.7","29","0","1","0","0","0","0","1","12.1","12.1","27.7%"
"20","Tyler Boyd (CIN)","9","11","118","13.1","33","0","0","0","0","0","0","1","11.8","11.8","65.4%"
"21","Kenny Golladay (NYG)","6","7","116","19.3","28","0","0","0","0","0","0","1","11.6","11.6","56.3%"
"22","Stefon Diggs (BUF)","7","11","114","16.3","37","0","0","0","0","0","0","1","11.4","11.4","100.0%"
"23","Laviska Shenault Jr. (JAC)","6","7","99","16.5","52","0","0","1","11","0","0","1","11.0","11.0","38.8%"
"24","Robert Woods (LAR)","4","6","48","12.0","18","0","1","0","0","0","0","1","10.8","10.8","32.5%"
"25","Hunter Renfrow (LV)","6","8","45","7.5","12","0","1","0","0","0","0","1","10.5","10.5","85.5%"
"26","Keelan Cole Sr. (NYJ)","3","4","92","30.7","54","0","0","0","0","0","0","1","9.2","9.2","0.7%"
"27","Cedrick Wilson Jr. (DAL)","2","2","30","15.0","23","0","1","0","0","0","0","1","9.0","9.0","5.7%"
"28","Jakobi Meyers (NE)","8","12","70","8.8","21","0","0","0","0","0","0","1","8.8","8.8","63.8%"
"29","DeAndre Carter (WAS)","1","1","24","24.0","24","0","0","0","0","0","0","1","8.4","8.4","2.5%"
"30","Quintez Cephus (DET)","4","5","83","20.8","33","0","0","0","0","0","0","1","8.3","8.3","0.8%"
"31","Emmanuel Sanders (BUF)","5","6","74","14.8","21","0","0","1","7","0","0","1","8.1","8.1","58.6%"
"32","Freddie Swain (SEA)","3","4","20","6.7","13","0","1","0","0","0","0","1","8.0","8.0","0.3%"
"33","Calvin Ridley (ATL)","7","13","80","11.4","21","0","0","0","0","0","0","1","8.0","8.0","68.1%"
"34","Kadarius Toney (NYG)","6","9","78","13.0","21","0","0","1","1","0","0","1","7.9","7.9","30.5%"
"35","Ja'Marr Chase (CIN)","6","9","77","12.8","44","0","0","0","0","0","0","1","7.7","7.7","98.5%"
"36","Mike Evans (TB)","7","12","75","10.7","28","0","0","0","0","0","0","1","7.5","7.5","99.0%"
"37","Greg Ward (PHI)","1","2","15","15.0","15","0","1","0","0","0","0","1","7.5","7.5","0.1%"
"38","James Proche II (BAL)","5","6","74","14.8","32","0","0","0","0","0","0","1","7.4","7.4","0.0%"
