"Rank","Player","REC","TGT","YDS","Y/R","LG","20+","TD","ATT","YDS","TD","FL","G","FPTS","FPTS/G","ROST"
"1","CeeDee Lamb (DAL)","9","11","149","16.6","35","0","2","1","2","0","0","1","36.1","36.1","99.6%"
"2","Cooper Kupp (LAR)","9","12","130","14.4","30","0","2","0","0","0","0","1","34.0","34.0","100.0%"
"3","Adam Thielen (MIN)","11","13","126","11.5","35","0","1","1","2","0","0","1","29.8","29.8","97.2%"
"4","Jaylen Waddle (MIA)","10","13","70","7.0","14","0","2","0","0","0","0","1","29.0","29.0","92.8%"
"5","Donovan Peoples-Jones (CLE)","4","5","101","25.3","57","0","2","0","0","0","0","1","26.1","26.1","9.5%"
"6","Antonio Brown (TB)","9","13","93","10.3","27","0","1","0","0","0","0","1","24.3","24.3","66.3%"
"7","Stefon Diggs (BUF)","9","11","89","9.9","17","0","1","0","0","0","0","1","23.9","23.9","100.0%"
"8","Courtland Sutton (DEN)","8","14","94","11.8","18","0","1","0","0","0","0","1","23.4","23.4","77.0%"
"9","Marvin Jones Jr. (JAC)","7","10","100","14.3","28","0","1","0","0","0","0","1","23.0","23.0","58.5%"
"10","Tyreek Hill (KC)","9","12","76","8.4","19","0","1","0","0","0","0","1","22.6","22.6","100.0%"
"11","Cole Beasley (BUF)","7","9","88","12.6","29","0","1","0","0","0","0","1","21.8","21.8","67.9%"
"12","DeAndre Hopkins (ARI)","3","4","55","18.3","33","0","2","0","0","0","0","1","20.5","20.5","99.3%"
"13","K.J. Osborn (MIN)","6","7","78","13.0","27","0","1","0","0","0","0","1","19.8","19.8","32.3%"
"14","A.J. Green (ARI)","5","6","79","15.8","34","0","1","0","0","0","0","1","18.9","18.9","33.5%"
"15","Henry Ruggs III (FA)","3","4","97","32.3","48","0","1","0","0","0","0","1","18.7","18.7","10.9%"
"16","Diontae Johnson (PIT)","9","13","71","7.9","23","0","0","1","25","0","0","1","18.6","18.6","98.0%"
"17","Christian Kirk (ARI)","5","8","75","15.0","21","0","1","0","0","0","0","1","18.5","18.5","59.4%"
"18","Brandin Cooks (HOU)","9","13","89","9.9","20","0","0","0","0","0","0","1","17.9","17.9","91.5%"
"19","Sterling Shepard (NYG)","10","14","76","7.6","14","0","0","0","0","0","0","1","17.6","17.6","34.0%"
"20","A.J. Brown (TEN)","7","9","91","13.0","22","0","0","0","0","0","0","1","16.1","16.1","90.7%"
"21","Darnell Mooney (CHI)","5","8","45","9.0","15","0","1","0","0","0","0","1","15.5","15.5","78.0%"
"22","Kendrick Bourne (NE)","1","2","75","75.0","75","0","1","0","0","0","0","1","14.5","14.5","29.0%"
"23","Emmanuel Sanders (BUF)","5","8","91","18.2","31","0","0","0","0","0","0","1","14.1","14.1","58.4%"
"24","Justin Jefferson (MIN)","8","14","80","10.0","26","0","0","0","0","0","1","1","14.0","14.0","99.9%"
"25","Ja'Marr Chase (CIN)","4","6","97","24.3","53","0","0","0","0","0","0","1","13.7","13.7","98.5%"
"26","Demarcus Robinson (KC)","3","6","46","15.3","24","0","1","0","0","0","0","1","13.6","13.6","0.8%"
"27","Tim Patrick (DEN)","3","6","42","14.0","23","0","1","0","0","0","0","1","13.2","13.2","20.7%"
"28","Davante Adams (GB)","4","5","89","22.3","41","0","0","0","0","0","0","1","12.9","12.9","100.0%"
"29","Odell Beckham Jr. (LAR)","5","8","79","15.8","25","0","0","0","0","0","0","1","12.9","12.9","90.4%"
"30","Jamal Agnew (JAC)","5","6","78","15.6","29","0","0","0","0","0","0","1","12.8","12.8","2.0%"
"31","Parris Campbell (IND)","1","1","51","51.0","51","0","1","0","0","0","0","1","12.1","12.1","4.6%"
"32","T.Y. Hilton (IND)","4","4","80","20.0","52","0","0","0","0","0","0","1","12.0","12.0","19.3%"
"33","D.K. Metcalf (SEA)","6","7","58","9.7","14","0","0","0","0","0","0","1","11.8","11.8","99.7%"
"34","Allen Lazard (GB)","3","5","27","9.0","13","0","1","0","0","0","0","1","11.7","11.7","4.0%"
"35","Laviska Shenault Jr. (JAC)","6","10","54","9.0","12","0","0","0","0","0","0","1","11.4","11.4","38.2%"
"36","Jakobi Meyers (NE)","5","6","44","8.8","14","0","0","0","0","0","0","1","11.4","11.4","63.1%"
"37","Robert Woods (LAR)","2","5","31","15.5","16","0","1","0","0","0","0","1","11.1","11.1","31.9%"
"38","D.J. Moore (CAR)","5","13","73","14.6","25","0","0","1","6","0","1","1","10.9","10.9","97.0%"
"39","Amari Cooper (DAL)","5","8","55","11.0","17","0","0","0","0","0","0","1","10.5","10.5","97.7%"
"40","Mack Hollins (MIA)","4","5","61","15.3","20","0","0","0","0","0","0","1","10.1","10.1","0.2%"
"41","Robby Anderson (CAR)","3","11","11","3.7","7","0","1","0","0","0","0","1","10.1","10.1","40.0%"
"42","Keenan Allen (LAC)","5","5","50","10.0","21","0","0","0","0","0","0","1","10.0","10.0","99.1%"
"43","Dante Pettis (NYG)","5","11","48","9.6","15","0","0","0","0","0","0","1","9.8","9.8","0.2%"
"44","Kalif Raymond (DET)","6","7","37","6.2","10","0","0","0","0","0","0","1","9.7","9.7","4.0%"
"45","Amon-Ra St. Brown (DET)","5","7","26","5.2","9","0","0","0","0","0","0","1","9.6","9.6","11.3%"
"46","Quez Watkins (PHI)","3","5","44","14.7","24","0","0","0","0","0","0","1","9.4","9.4","1.4%"
"47","Chris Godwin (TB)","5","5","43","8.6","16","0","0","0","0","0","0","1","9.3","9.3","98.9%"
"48","Allen Robinson II (CHI)","4","7","53","13.3","20","0","0","0","0","0","0","1","9.3","9.3","60.8%"
"49","Julio Jones (TEN)","3","5","59","19.7","48","0","0","0","0","0","0","1","8.9","8.9","75.8%"
"50","Mecole Hardman (KC)","4","5","62","15.5","49","0","0","1","6","0","1","1","8.8","8.8","30.8%"
"51","Bryan Edwards (LV)","2","4","67","33.5","51","0","0","0","0","0","0","1","8.7","8.7","9.6%"
"52","Kendall Hinton (DEN)","5","5","37","7.4","12","0","0","0","0","0","0","1","8.7","8.7","0.0%"
"53","Byron Pringle (KC)","3","3","55","18.3","27","0","0","0","0","0","0","1","8.5","8.5","1.0%"
"54","Nico Collins (HOU)","4","6","44","11.0","18","0","0","0","0","0","0","1","8.4","8.4","1.1%"
"55","Cedrick Wilson Jr. (DAL)","4","7","42","10.5","13","0","0","0","0","0","0","1","8.2","8.2","5.1%"
"56","Auden Tate (CIN)","1","1","7","7.0","7","0","1","0","0","0","0","1","7.7","7.7","0.1%"
"57","Marquise Brown (BAL)","4","5","35","8.8","20","0","0","0","0","0","0","1","7.5","7.5","94.4%"
"58","Tee Higgins (CIN)","3","6","44","14.7","23","0","0","0","0","0","0","1","7.4","7.4","93.5%"
"59","Rashod Bateman (BAL)","4","6","29","7.3","11","0","0","0","0","0","0","1","6.9","6.9","30.5%"
"60","Terry McLaurin (WAS)","4","8","28","7.0","12","0","0","0","0","0","0","1","6.8","6.8","98.9%"
"61","Noah Brown (DAL)","2","2","47","23.5","27","0","0","0","0","0","0","1","6.7","6.7","0.2%"
"62","Hunter Renfrow (LV)","3","5","36","12.0","25","0","0","0","0","0","0","1","6.6","6.6","85.6%"
"63","Kadarius Toney (NYG)","3","3","36","12.0","17","0","0","0","0","0","0","1","6.6","6.6","29.4%"
"64","Brandon Zylstra (CAR)","3","3","32","10.7","21","0","0","0","0","0","0","1","6.2","6.2","0.1%"
"65","Dyami Brown (WAS)","3","6","30","10.0","13","0","0","0","0","0","0","1","6.0","6.0","0.4%"
"66","Michael Pittman Jr. (IND)","2","3","35","17.5","18","0","0","1","3","0","0","1","5.8","5.8","92.4%"
"67","Nick Westbrook-Ikhine (TEN)","3","3","27","9.0","14","0","0","0","0","0","0","1","5.7","5.7","16.3%"
"68","Rondale Moore (ARI)","3","4","16","5.3","10","0","0","3","10","0","0","1","5.6","5.6","20.2%"
"69","Tyler Lockett (SEA)","2","7","35","17.5","21","0","0","0","0","0","0","1","5.5","5.5","97.6%"
"70","Chris Moore (HOU)","4","5","14","3.5","11","0","0","0","0","0","0","1","5.4","5.4","0.1%"
"71","DeVonta Smith (PHI)","2","4","31","15.5","25","0","0","0","0","0","0","1","5.1","5.1","85.5%"
"72","Van Jefferson (LAR)","3","4","19","6.3","18","0","0","0","0","0","0","1","4.9","4.9","71.2%"
"73","Mike Williams (LAC)","2","5","27","13.5","26","0","0","0","0","0","0","1","4.7","4.7","94.5%"
"74","Mike Evans (TB)","2","4","27","13.5","22","0","0","0","0","0","0","1","4.7","4.7","99.0%"
"75","Devin Duvernay (BAL)","2","3","15","7.5","8","0","0","1","11","0","0","1","4.6","4.6","1.4%"
"76","Gabriel Davis (BUF)","2","2","25","12.5","20","0","0","0","0","0","0","1","4.5","4.5","2.8%"
"77","Collin Johnson (NYG)","2","5","21","10.5","11","0","0","0","0","0","0","1","4.1","4.1","0.1%"
"78","Shi Smith (CAR)","2","2","20","10.0","16","0","0","0","0","0","0","1","4.0","4.0","0.1%"
"79","Ray-Ray McCloud (PIT)","2","2","18","9.0","15","0","0","0","0","0","0","1","3.8","3.8","0.4%"
"80","Nelson Agholor (NE)","1","4","27","27.0","27","0","0","1","1","0","0","1","3.8","3.8","15.1%"
"81","Chase Claypool (PIT)","2","7","17","8.5","12","0","0","0","0","0","0","1","3.7","3.7","88.0%"
"82","Jody Fortson (KC)","1","1","27","27.0","27","0","0","0","0","0","0","1","3.7","3.7","0.0%"
"83","Albert Wilson (MIA)","2","2","14","7.0","12","0","0","0","0","0","0","1","3.4","3.4","0.2%"
"84","Dede Westbrook (MIN)","2","3","13","6.5","7","0","0","0","0","0","0","1","3.3","3.3","0.2%"
"85","KhaDarel Hodge (DET)","2","4","9","4.5","7","0","0","0","0","0","0","1","2.9","2.9","0.1%"
"86","Anthony Schwartz (CLE)","2","3","11","5.5","6","0","0","1","-3","0","0","1","2.8","2.8","0.3%"
"87","Alex Erickson (CAR)","1","1","17","17.0","17","0","0","0","0","0","0","1","2.7","2.7","0.0%"
"88","Tom Kennedy (DET)","1","1","15","15.0","15","0","0","0","0","0","0","1","2.5","2.5","0.0%"
"89","Jalen Guyton (LAC)","1","5","15","15.0","15","0","0","0","0","0","0","1","2.5","2.5","14.6%"
"90","Amari Rodgers (GB)","1","1","14","14.0","14","0","0","0","0","0","0","1","2.4","2.4","0.4%"
"91","Penny Hart (SEA)","1","1","12","12.0","12","0","0","0","0","0","0","1","2.2","2.2","0.0%"
"92","Marquise Goodwin (CHI)","1","1","12","12.0","12","0","0","0","0","0","0","1","2.2","2.2","0.7%"
"93","Chris Conley (HOU)","1","2","10","10.0","10","0","0","0","0","0","0","1","2.0","2.0","0.4%"
