"Rank","Player","REC","TGT","YDS","Y/R","LG","20+","TD","ATT","YDS","TD","FL","G","FPTS","FPTS/G","ROST"
"1","Davante Adams (GB)","10","13","121","12.1","38","0","2","0","0","0","0","1","34.1","34.1","100.0%"
"2","Cooper Kupp (LAR)","13","15","123","9.5","44","0","1","0","0","0","0","1","31.3","31.3","100.0%"
"3","Hunter Renfrow (LV)","13","14","117","9.0","19","0","1","0","0","0","1","1","28.7","28.7","85.6%"
"4","Tyler Lockett (SEA)","5","9","142","28.4","55","0","1","0","0","0","0","1","27.2","27.2","97.6%"
"5","Ja'Marr Chase (CIN)","5","8","77","15.4","32","0","2","1","6","0","0","1","25.3","25.3","98.5%"
"6","Robby Anderson (CAR)","7","12","84","12.0","23","0","1","0","0","0","0","1","21.4","21.4","39.8%"
"7","Mike Evans (TB)","6","6","91","15.2","24","0","1","0","0","0","0","1","21.1","21.1","99.0%"
"8","Allen Lazard (GB)","6","7","75","12.5","32","0","1","1","14","0","0","1","20.9","20.9","4.1%"
"9","Justin Jefferson (MIN)","7","15","79","11.3","22","0","1","1","-4","0","0","1","20.5","20.5","99.9%"
"10","Chris Godwin (TB)","10","15","105","10.5","23","0","0","0","0","0","0","1","20.5","20.5","98.9%"
"11","Odell Beckham Jr. (LAR)","6","7","77","12.8","40","0","1","0","0","0","0","1","19.7","19.7","90.5%"
"12","Brandon Aiyuk (SF)","6","11","62","10.3","21","0","1","1","4","0","0","1","18.6","18.6","88.2%"
"13","Jakeem Grant Sr. (CHI)","1","3","46","46.0","46","0","1","1","5","0","0","1","18.1","18.1","0.6%"
"14","Brandin Cooks (HOU)","8","11","101","12.6","19","0","0","0","0","0","0","1","18.1","18.1","91.5%"
"15","Jalen Guyton (LAC)","3","3","87","29.0","59","0","1","0","0","0","0","1","17.7","17.7","15.1%"
"16","Joshua Palmer (LAC)","5","7","66","13.2","36","0","1","0","0","0","0","1","17.6","17.6","1.6%"
"17","Chase Claypool (PIT)","8","9","93","11.6","38","0","0","1","2","0","0","1","17.5","17.5","88.0%"
"18","Rashod Bateman (BAL)","7","8","103","14.7","36","0","0","0","0","0","0","1","17.3","17.3","30.1%"
"19","K.J. Osborn (MIN)","3","9","83","27.7","62","0","1","0","0","0","0","1","17.3","17.3","32.3%"
"20","A.J. Green (ARI)","7","10","102","14.6","36","0","0","0","0","0","0","1","17.2","17.2","34.0%"
"21","James Washington (PIT)","4","6","65","16.3","30","0","1","0","0","0","0","1","16.5","16.5","1.0%"
"22","Tee Higgins (CIN)","5","7","114","22.8","27","0","0","0","0","0","0","1","16.4","16.4","93.5%"
"23","Amari Cooper (DAL)","5","7","51","10.2","20","0","1","0","0","0","0","1","16.1","16.1","97.7%"
"24","Cam Sims (WAS)","3","4","69","23.0","43","0","1","0","0","0","0","1","15.9","15.9","0.1%"
"25","Damiere Byrd (CHI)","2","2","76","38.0","54","0","1","0","0","0","0","1","15.6","15.6","0.1%"
"26","Cole Beasley (BUF)","9","11","64","7.1","15","0","0","0","0","0","0","1","15.4","15.4","67.8%"
"27","Gabriel Davis (BUF)","5","8","43","8.6","21","0","1","0","0","0","0","1","15.3","15.3","2.8%"
"28","Amon-Ra St. Brown (DET)","8","12","73","9.1","19","0","0","0","0","0","0","1","15.3","15.3","11.5%"
"29","Diontae Johnson (PIT)","5","10","76","15.2","37","0","0","1","7","0","0","1","15.3","15.3","98.0%"
"30","Jarvis Landry (CLE)","5","8","41","8.2","17","0","1","0","0","0","0","1","15.1","15.1","76.5%"
"31","Van Jefferson (LAR)","2","3","58","29.0","52","0","1","1","10","0","0","1","14.8","14.8","71.6%"
"32","CeeDee Lamb (DAL)","7","10","61","8.7","18","0","0","2","15","0","0","1","14.6","14.6","99.6%"
"33","Stefon Diggs (BUF)","7","13","74","10.6","24","0","0","0","0","0","0","1","14.4","14.4","100.0%"
"34","D.J. Moore (CAR)","6","10","84","14.0","22","0","0","0","0","0","0","1","14.4","14.4","97.0%"
"35","Donovan Peoples-Jones (CLE)","5","7","90","18.0","34","0","0","0","0","0","0","1","14.0","14.0","9.7%"
"36","Kalif Raymond (DET)","4","5","31","7.8","9","0","1","0","0","0","0","1","13.1","13.1","3.9%"
"37","Marvin Jones Jr. (JAC)","6","7","70","11.7","31","0","0","0","0","0","0","1","13.0","13.0","58.3%"
"38","Deebo Samuel (SF)","1","1","22","22.0","22","0","0","8","37","1","0","1","12.9","12.9","98.4%"
"39","Breshad Perriman (TB)","1","2","58","58.0","58","0","1","0","0","0","0","1","12.8","12.8","0.8%"
"40","Mike Williams (LAC)","6","6","61","10.2","25","0","0","0","0","0","0","1","12.1","12.1","94.6%"
"41","Nico Collins (HOU)","5","10","69","13.8","30","0","0","0","0","0","0","1","11.9","11.9","1.1%"
"42","Christian Kirk (ARI)","3","6","86","28.7","47","0","0","0","0","0","0","1","11.6","11.6","59.1%"
"43","Tyreek Hill (KC)","4","4","76","19.0","38","0","0","0","0","0","0","1","11.6","11.6","100.0%"
"44","Braxton Berrios (NYJ)","6","10","52","8.7","17","0","0","0","0","0","0","1","11.2","11.2","0.7%"
"45","Michael Gallup (DAL)","5","9","60","12.0","24","0","0","0","0","0","0","1","11.0","11.0","79.0%"
"46","Laquon Treadwell (JAC)","4","6","68","17.0","41","0","0","0","0","0","0","1","10.8","10.8","0.9%"
"47","Russell Gage (ATL)","4","6","64","16.0","36","0","0","0","0","0","0","1","10.4","10.4","48.6%"
"48","DeAndre Hopkins (ARI)","5","12","54","10.8","15","0","0","0","0","0","0","1","10.4","10.4","99.3%"
"49","Tyler Boyd (CIN)","4","5","55","13.8","29","0","0","1","8","0","0","1","10.3","10.3","65.2%"
"50","Jerry Jeudy (DEN)","5","6","47","9.4","21","0","0","0","0","0","0","1","9.7","9.7","81.1%"
"51","Ray-Ray McCloud (PIT)","6","8","32","5.3","10","0","0","0","0","0","0","1","9.2","9.2","0.4%"
"52","Marquise Brown (BAL)","5","8","41","8.2","12","0","0","0","0","0","0","1","9.1","9.1","94.4%"
"53","Josh Gordon (KC)","2","3","9","4.5","8","0","1","0","0","0","0","1","8.9","8.9","1.3%"
"54","Brandon Zylstra (CAR)","4","5","45","11.3","19","0","0","0","0","0","0","1","8.5","8.5","0.1%"
"55","D.K. Metcalf (SEA)","4","8","43","10.8","22","0","0","0","0","0","0","1","8.3","8.3","99.7%"
"56","Josh Reynolds (DET)","3","5","52","17.3","20","0","0","0","0","0","0","1","8.2","8.2","5.8%"
"57","Mecole Hardman (KC)","2","2","59","29.5","44","0","0","1","0","0","0","1","7.9","7.9","30.6%"
"58","Jauan Jennings (SF)","3","5","46","15.3","25","0","0","0","0","0","0","1","7.6","7.6","0.6%"
"59","Laviska Shenault Jr. (JAC)","4","7","34","8.5","14","0","0","0","0","0","0","1","7.4","7.4","38.1%"
"60","Adam Humphries (WAS)","4","7","34","8.5","14","0","0","0","0","0","0","1","7.4","7.4","0.3%"
"61","Julio Jones (TEN)","4","6","33","8.3","16","0","0","0","0","0","0","1","7.3","7.3","76.3%"
"62","D.J. Montgomery (NYJ)","3","6","36","12.0","14","0","0","0","0","0","0","1","6.6","6.6","0.0%"
"63","Tre'Quan Smith (NO)","3","3","33","11.0","21","0","0","0","0","0","0","1","6.3","6.3","11.0%"
"64","Nick Westbrook-Ikhine (TEN)","3","3","31","10.3","15","0","0","0","0","0","0","1","6.1","6.1","15.8%"
"65","Zay Jones (LV)","5","7","25","5.0","9","0","0","0","0","0","1","1","5.5","5.5","1.1%"
"66","Marquez Callaway (NO)","2","4","34","17.0","26","0","0","0","0","0","0","1","5.4","5.4","27.7%"
"67","Marquez Valdes-Scantling (GB)","3","5","20","6.7","8","0","0","0","0","0","0","1","5.0","5.0","35.0%"
"68","Jamison Crowder (NYJ)","3","6","19","6.3","11","0","0","0","0","0","0","1","4.9","4.9","35.4%"
"69","Sterling Shepard (NYG)","2","4","27","13.5","24","0","0","0","0","0","0","1","4.7","4.7","34.1%"
"70","Tavon Austin (JAC)","3","5","17","5.7","7","0","0","0","0","0","0","1","4.7","4.7","0.1%"
"71","Tyler Johnson (TB)","3","3","17","5.7","8","0","0","0","0","0","0","1","4.7","4.7","1.1%"
"72","Rondale Moore (ARI)","3","4","5","1.7","7","0","0","2","11","0","0","1","4.6","4.6","20.1%"
"73","Bryan Edwards (LV)","2","3","24","12.0","18","0","0","0","0","0","0","1","4.4","4.4","9.6%"
"74","Tim Patrick (DEN)","2","5","21","10.5","13","0","0","0","0","0","0","1","4.1","4.1","20.6%"
"75","Chris Conley (HOU)","2","2","20","10.0","13","0","0","0","0","0","0","1","4.0","4.0","0.4%"
"76","Byron Pringle (KC)","1","1","28","28.0","28","0","0","0","0","0","0","1","3.8","3.8","1.0%"
"77","Cedrick Wilson Jr. (DAL)","2","2","18","9.0","13","0","0","0","0","0","0","1","3.8","3.8","4.9%"
"78","Keelan Cole Sr. (NYJ)","1","6","27","27.0","27","0","0","0","0","0","0","1","3.7","3.7","1.1%"
"79","Devin Duvernay (BAL)","2","5","14","7.0","11","0","0","1","3","0","0","1","3.7","3.7","1.4%"
"80","Kenny Golladay (NYG)","2","8","15","7.5","10","0","0","0","0","0","0","1","3.5","3.5","55.4%"
"81","Emmanuel Sanders (BUF)","1","1","25","25.0","25","0","0","0","0","0","0","1","3.5","3.5","57.8%"
"82","Allen Robinson II (CHI)","2","6","14","7.0","8","0","0","0","0","0","0","1","3.4","3.4","60.9%"
"83","DeAndre Carter (WAS)","2","5","12","6.0","10","0","0","0","0","0","0","1","3.2","3.2","2.5%"
"84","Darnell Mooney (CHI)","1","5","19","19.0","19","0","0","0","0","0","0","1","2.9","2.9","78.0%"
"85","DeSean Jackson (LV)","1","2","19","19.0","19","0","0","0","0","0","0","1","2.9","2.9","6.3%"
"86","Davion Davis (HOU)","1","1","17","17.0","17","0","0","0","0","0","0","1","2.7","2.7","0.0%"
"87","Penny Hart (SEA)","1","1","16","16.0","16","0","0","0","0","0","0","1","2.6","2.6","0.0%"
"88","Chester Rogers (TEN)","1","1","13","13.0","13","0","0","0","0","0","0","1","2.3","2.3","0.7%"
"89","Phillip Dorsett II (HOU)","1","3","9","9.0","9","0","0","1","0","0","0","1","1.9","1.9","0.0%"
"90","Racey McMath (TEN)","1","2","9","9.0","9","0","0","0","0","0","0","1","1.9","1.9","0.0%"
"91","Courtland Sutton (DEN)","1","2","9","9.0","9","0","0","0","0","0","0","1","1.9","1.9","76.7%"
"92","Tajae Sharpe (ATL)","1","2","7","7.0","7","0","0","0","0","0","0","1","1.7","1.7","1.2%"
"93","John Ross (NYG)","1","1","7","7.0","7","0","0","0","0","0","0","1","1.7","1.7","0.1%"
"94","Tom Kennedy (DET)","1","1","7","7.0","7","0","0","0","0","0","0","1","1.7","1.7","0.0%"
"95","Cody Hollister (TEN)","1","1","6","6.0","6","0","0","0","0","0","0","1","1.6","1.6","0.0%"
"96","Pharoh Cooper (NYG)","1","1","6","6.0","6","0","0","0","0","0","0","1","1.6","1.6","0.0%"
"97","Easop Winston Jr. (NO)","1","1","5","5.0","5","0","0","0","0","0","0","1","1.5","1.5","0.0%"
"98","Isaiah McKenzie (BUF)","1","1","5","5.0","5","0","0","0","0","0","0","1","1.5","1.5","0.2%"
"99","Freddie Swain (SEA)","0","1","0","0","0","0","0","1","3","0","0","1","0.3","0.3","0.3%"
"100","Jody Fortson (KC)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"101","Terry McLaurin (WAS)","0","4","0","0","0","0","0","0","0","0","0","1","0.0","0.0","98.9%"
"102","Jason Moore Jr. (LAC)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"103","Malik Taylor (GB)","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.1%"
"104","Nsimba Webster (CHI)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"105","Alex Bachman (NYG)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"106","Kabion Ento (GB)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"107","Malik Henry (NO)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"108","Deonte Harris (NO)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","6.9%"
"109","Olamide Zaccheaus (ATL)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.8%"
"110","Jayson Stanley (SEA)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"111","Ashton Dulin (IND)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.1%"
"112","Miles Boykin (BAL)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.1%"
"113","Stanley Morgan Jr. (CIN)","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.0%"
"114","KeeSean Johnson (PHI)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"115","Preston Williams (MIA)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.1%"
"116","Cody Thompson (SEA)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
