"Rank","Player","REC","TGT","YDS","Y/R","LG","20+","TD","ATT","YDS","TD","FL","G","FPTS","FPTS/G","ROST"
"1","Justin Jefferson (MIN)","11","14","182","16.5","48","0","1","1","4","0","0","1","35.6","35.6","99.9%"
"2","Diontae Johnson (PIT)","8","11","105","13.1","29","0","2","0","0","0","0","1","30.5","30.5","98.0%"
"3","Chris Godwin (TB)","15","17","143","9.5","36","0","0","1","9","0","0","1","30.2","30.2","98.9%"
"4","Tee Higgins (CIN)","9","14","138","15.3","29","0","1","0","0","0","0","1","28.8","28.8","93.5%"
"5","Cooper Kupp (LAR)","8","10","129","16.1","43","0","1","0","0","0","0","1","26.9","26.9","100.0%"
"6","Amon-Ra St. Brown (DET)","10","12","86","8.6","14","0","1","1","2","0","0","1","24.8","24.8","11.3%"
"7","Keenan Allen (LAC)","5","8","34","6.8","10","0","2","0","0","0","0","1","22.4","22.4","99.1%"
"8","Russell Gage (ATL)","11","12","130","11.8","19","0","0","0","0","0","1","1","22.0","22.0","48.8%"
"9","Elijah Moore (NYJ)","6","12","77","12.8","29","0","1","1","9","0","0","1","20.6","20.6","65.7%"
"10","Deonte Harris (NO)","4","8","96","24.0","70","0","1","1","3","0","0","1","19.9","19.9","6.9%"
"11","Tyler Lockett (SEA)","7","8","68","9.7","16","0","1","0","0","0","0","1","19.8","19.8","97.6%"
"12","CeeDee Lamb (DAL)","7","13","89","12.7","25","0","0","1","33","0","0","1","19.2","19.2","99.6%"
"13","Hunter Renfrow (LV)","9","10","102","11.3","28","0","0","0","0","0","0","1","19.2","19.2","85.6%"
"14","Jalen Guyton (LAC)","4","4","90","22.5","44","0","1","1","-1","0","0","1","18.9","18.9","14.6%"
"15","Jaylen Waddle (MIA)","9","11","90","10.0","25","0","0","0","0","0","0","1","18.0","18.0","92.8%"
"16","Jakeem Grant Sr. (CHI)","5","7","62","12.4","34","0","1","0","0","0","0","1","17.2","17.2","0.6%"
"17","Michael Pittman Jr. (IND)","6","8","77","12.8","17","0","0","2","33","0","0","1","17.0","17.0","92.4%"
"18","Mike Evans (TB)","7","10","99","14.1","36","0","0","0","0","0","0","1","16.9","16.9","99.0%"
