"Rank","Player","ATT","YDS","Y/A","LG","20+","TD","REC","TGT","YDS","Y/R","TD","FL","G","FPTS","FPTS/G","ROST"
"58","Ameer Abdullah (LV)","51","166","3.3","15","0","0","38","53","289","7.6","1","0","17","89.5","5.3","0.8%"
"59","Justin Jackson (FA)","68","364","5.4","75","0","2","22","25","178","8.1","0","1","14","86.2","6.2","0.8%"
"60","Samaje Perine (CIN)","55","246","4.5","46","0","1","27","31","196","7.3","1","0","15","83.2","5.5","2.9%"
"61","David Johnson (FA)","67","228","3.4","15","0","0","32","42","225","7.0","1","1","13","81.3","6.3","0.8%"
"62","Ronald Jones II (KC)","101","428","4.2","30","0","4","10","13","64","6.4","0","2","15","79.2","5.3","86.0%"
"63","Khalil Herbert (CHI)","103","433","4.2","29","0","2","14","16","96","6.9","0","0","16","78.9","4.9","16.9%"
"64","Kyle Juszczyk (SF)","8","22","2.8","6","0","1","30","38","296","9.9","1","0","15","73.8","4.9","0.8%"
"65","Jeremy McNichols (FA)","41","156","3.8","14","0","0","28","38","240","8.6","1","0","13","73.6","5.7","3.6%"
"66","Dontrell Hilliard (TEN)","56","350","6.3","68","0","2","19","26","87","4.6","0","1","8","72.7","9.1","3.0%"
"67","Alex Collins (FA)","108","411","3.8","25","0","2","9","10","87","9.7","0","1","11","68.8","6.3","9.6%"
"68","Jordan Howard (FA)","86","406","4.7","25","0","3","2","5","19","9.5","0","0","7","62.5","8.9","0.3%"
"69","Travis Homer (SEA)","21","177","8.4","73","0","1","16","20","161","10.1","0","0","14","61.8","4.4","0.2%"
"70","Damien Williams (ATL)","40","164","4.1","23","0","2","16","23","103","6.4","1","0","12","60.7","5.1","1.5%"
"71","DeeJay Dallas (SEA)","33","138","4.2","15","0","2","21","23","133","6.3","0","0","17","60.1","3.5","0.6%"
"72","Giovani Bernard (TB)","8","58","7.3","24","0","0","23","29","123","5.3","3","0","10","59.1","5.9","0.9%"
"73","Duke Johnson Jr. (BUF)","71","330","4.6","27","0","3","4","5","41","10.3","0","0","5","59.1","11.8","2.0%"
"74","Derrick Gore (KC)","51","256","5.0","51","0","2","8","9","105","13.1","0","0","8","56.1","7.0","0.9%"
"75","Jaret Patterson (WAS)","68","266","3.9","13","0","2","10","12","73","7.3","0","0","14","55.9","4.0","0.7%"
"76","Tevin Coleman (NYJ)","84","356","4.2","20","0","0","11","16","49","4.5","0","0","11","51.5","4.7","0.9%"
"77","Jeff Wilson Jr. (SF)","79","294","3.7","17","0","2","7","8","31","4.4","0","0","9","51.5","5.7","1.3%"
"78","Demetric Felton Jr. (CLE)","7","24","3.4","12","0","0","18","21","181","10.1","2","0","15","50.5","3.4","0.3%"
