"Rank","Player","REC","TGT","YDS","Y/R","LG","20+","TD","ATT","YDS","TD","FL","G","FPTS","FPTS/G","ROST"
"1","Tee Higgins (CIN)","12","13","194","16.2","52","0","2","0","0","0","0","1","43.4","43.4","98.6%"
"2","Davante Adams (LV)","10","13","114","11.4","33","0","2","0","0","0","0","1","33.4","33.4","99.9%"
"3","A.J. Brown (PHI)","11","16","145","13.2","42","0","1","0","0","0","0","1","31.5","31.5","99.5%"
"4","Isaiah McKenzie (BUF)","11","12","125","11.4","28","0","1","1","-1","0","0","1","29.4","29.4","0.9%"
"5","Deebo Samuel (SF)","9","11","159","17.7","56","0","0","5","32","0","0","1","28.1","28.1","99.9%"
"6","Amon-Ra St. Brown (DET)","9","11","91","10.1","24","0","1","2","19","0","0","1","26.0","26.0","95.6%"
"7","Byron Pringle (CHI)","6","7","75","12.5","22","0","2","0","0","0","0","1","25.5","25.5","2.3%"
"8","Jaylen Waddle (MIA)","10","12","92","9.2","24","0","1","0","0","0","0","1","25.2","25.2","98.8%"
"9","Stefon Diggs (BUF)","7","13","85","12.1","23","0","1","0","0","0","0","1","21.5","21.5","99.9%"
"10","Amari Cooper (CLE)","7","11","85","12.1","24","0","1","0","0","0","0","1","21.5","21.5","95.8%"
"11","Cooper Kupp (LAR)","10","13","109","10.9","37","0","0","1","4","0","0","1","21.3","21.3","99.9%"
"12","Antonio Brown (FA)","10","15","101","10.1","22","0","0","0","0","0","0","1","20.1","20.1","2.3%"
"13","Justin Jefferson (MIN)","8","12","116","14.5","34","0","0","0","0","0","0","1","19.6","19.6","99.9%"
"14","Ja'Marr Chase (CIN)","7","10","125","17.9","22","0","0","0","0","0","0","1","19.5","19.5","99.9%"
"15","DeVonta Smith (PHI)","5","7","80","16.0","46","0","1","0","0","0","0","1","19.0","19.0","91.1%"
"16","K.J. Osborn (MIN)","5","7","68","13.6","30","0","1","0","0","0","0","1","17.8","17.8","7.9%"
"17","Tyler Boyd (CIN)","3","5","85","28.3","68","0","1","0","0","0","0","1","17.5","17.5","63.5%"
"18","Malik Turner (SF)","3","3","82","27.3","61","0","1","0","0","0","0","1","17.2","17.2","0.1%"
"19","Michael Pittman Jr. (IND)","8","12","82","10.3","20","0","0","1","3","0","0","1","16.5","16.5","97.7%"
"20","Marvin Jones Jr. (JAC)","8","13","74","9.3","19","0","0","0","0","0","0","1","15.4","15.4","23.6%"
"21","Joshua Palmer (LAC)","5","6","43","8.6","12","0","1","0","0","0","0","1","15.3","15.3","3.8%"
