"Rank","Player","REC","TGT","YDS","Y/R","LG","20+","TD","ATT","YDS","TD","FL","G","FPTS","FPTS/G","ROST"
"70","DeVonta Smith (PHI)","2","4","15","7.5","13","0","0","0","0","0","0","1","1.5","1.5","86.1%"
"71","Courtland Sutton (DEN)","2","6","15","7.5","10","0","0","0","0","0","0","1","1.5","1.5","77.2%"
"72","A.J. Green (ARI)","1","1","14","14.0","14","0","0","0","0","0","0","1","1.4","1.4","33.6%"
"73","DeSean Jackson (LV)","1","1","14","14.0","14","0","0","0","0","0","0","1","1.4","1.4","6.4%"
"74","Noah Brown (DAL)","2","3","14","7.0","9","0","0","0","0","0","0","1","1.4","1.4","0.2%"
"75","Byron Pringle (KC)","1","4","14","14.0","14","0","0","0","0","0","0","1","1.4","1.4","1.0%"
"76","Marquez Callaway (NO)","1","4","13","13.0","13","0","0","0","0","0","0","1","1.3","1.3","28.1%"
"77","Darius Slayton (NYG)","2","7","13","6.5","9","0","0","0","0","0","0","1","1.3","1.3","5.3%"
"78","Mecole Hardman (KC)","1","1","12","12.0","12","0","0","0","0","0","0","1","1.2","1.2","31.4%"
"79","Cole Beasley (BUF)","1","3","11","11.0","11","0","0","0","0","0","0","1","1.1","1.1","67.9%"
"80","Braxton Berrios (NYJ)","1","1","11","11.0","11","0","0","0","0","0","0","1","1.1","1.1","0.2%"
"81","Marvin Jones Jr. (JAC)","2","3","11","5.5","6","0","0","0","0","0","0","1","1.1","1.1","59.2%"
"82","Tajae Sharpe (ATL)","3","5","10","3.3","4","0","0","0","0","0","0","1","1.0","1.0","1.3%"
"83","Jaydon Mickens (JAC)","2","2","10","5.0","12","0","0","0","0","0","0","1","1.0","1.0","0.0%"
"84","Malik Turner (DAL)","1","1","10","10.0","10","0","0","0","0","0","0","1","1.0","1.0","0.1%"
"85","Rondale Moore (ARI)","1","2","8","8.0","8","0","0","3","2","0","0","1","1.0","1.0","20.3%"
"86","Tavon Austin (JAC)","1","2","9","9.0","9","0","0","0","0","0","0","1","0.9","0.9","0.1%"
"87","Tim Patrick (DEN)","1","5","9","9.0","9","0","0","0","0","0","0","1","0.9","0.9","20.9%"
"88","KhaDarel Hodge (DET)","1","1","9","9.0","9","0","0","0","0","0","0","1","0.9","0.9","0.1%"
"89","Jauan Jennings (SF)","1","1","8","8.0","8","0","0","0","0","0","0","1","0.8","0.8","0.7%"
"90","Kendall Hinton (DEN)","1","1","7","7.0","7","0","0","0","0","0","0","1","0.7","0.7","0.0%"
"91","Ray-Ray McCloud (PIT)","1","4","7","7.0","7","0","0","0","0","0","0","1","0.7","0.7","0.4%"
"92","Jalen Reagor (PHI)","1","1","7","7.0","7","0","0","1","0","0","0","1","0.7","0.7","13.6%"
"93","DeAndre Carter (WAS)","1","1","6","6.0","6","0","0","0","0","0","0","1","0.6","0.6","2.5%"
"94","Dyami Brown (WAS)","1","1","6","6.0","6","0","0","0","0","0","0","1","0.6","0.6","0.4%"
"95","Nelson Agholor (NE)","0","1","0","0","0","0","0","1","6","0","0","1","0.6","0.6","15.7%"
"96","Tyler Johnson (TB)","1","1","5","5.0","5","0","0","0","0","0","0","1","0.5","0.5","1.2%"
"97","Breshad Perriman (TB)","1","3","5","5.0","5","0","0","0","0","0","0","1","0.5","0.5","0.8%"
"98","Christian Kirk (ARI)","1","3","4","4.0","4","0","0","0","0","0","0","1","0.4","0.4","59.7%"
"99","Denzel Mims (NYJ)","1","1","4","4.0","4","0","0","0","0","0","0","1","0.4","0.4","0.7%"
"100","Kendrick Bourne (NE)","0","0","0","0","0","0","0","1","3","0","0","1","0.3","0.3","29.2%"
"101","Jody Fortson (KC)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"102","Travis Fulgham (MIA)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"103","Kabion Ento (GB)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"104","KeeSean Johnson (PHI)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"105","Parris Campbell (IND)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","4.6%"
"106","Nsimba Webster (CHI)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"107","Alex Bachman (NYG)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"108","Malik Henry (NO)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"109","Jayson Stanley (SEA)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"110","DeAndre Thompkins (GB)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"111","Malik Taylor (GB)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.1%"
"112","Trinity Benson (DET)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"113","Jeff Smith (NYJ)","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.0%"
