"Rank","Player","REC","TGT","YDS","Y/R","LG","20+","TD","ATT","YDS","TD","FL","G","FPTS","FPTS/G","ROST"
"1","A.J. Brown (TEN)","10","11","155","15.5","57","0","1","0","0","0","0","1","31.5","31.5","90.7%"
"2","Michael Pittman Jr. (IND)","10","15","86","8.6","38","0","2","0","0","0","0","1","30.6","30.6","92.4%"
"3","Chris Godwin (TB)","8","12","140","17.5","44","0","1","0","0","0","0","1","28.0","28.0","98.9%"
"4","Tyreek Hill (KC)","12","18","94","7.8","15","0","1","0","0","0","0","1","27.4","27.4","100.0%"
"5","Tyler Lockett (SEA)","12","13","142","11.8","28","0","0","0","0","0","0","1","26.2","26.2","97.6%"
"6","Amari Cooper (DAL)","8","13","122","15.3","33","0","1","0","0","0","0","1","26.2","26.2","97.7%"
"7","Cooper Kupp (LAR)","7","9","115","16.4","52","0","1","0","0","0","0","1","24.5","24.5","100.0%"
"8","Deebo Samuel (SF)","6","9","171","28.5","83","0","0","0","0","0","0","1","23.1","23.1","98.4%"
"9","D.K. Metcalf (SEA)","6","6","43","7.2","16","0","2","0","0","0","0","1","22.3","22.3","99.7%"
"10","Cole Beasley (BUF)","10","13","110","11.0","20","0","0","0","0","0","0","1","21.0","21.0","67.9%"
"11","Robert Woods (LAR)","3","9","35","11.7","28","0","1","3","22","1","0","1","20.7","20.7","31.9%"
"12","Brandin Cooks (HOU)","6","6","83","13.8","45","0","1","0","0","0","0","1","20.3","20.3","91.5%"
"13","Adam Thielen (MIN)","6","9","78","13.0","32","0","1","0","0","0","0","1","19.8","19.8","97.2%"
"14","Keenan Allen (LAC)","6","11","77","12.8","41","0","1","0","0","0","0","1","19.7","19.7","99.1%"
"15","Tyler Boyd (CIN)","5","8","69","13.8","21","0","1","0","0","0","0","1","19.7","19.7","65.3%"
"16","Cedrick Wilson Jr. (DAL)","3","3","84","28.0","73","0","1","0","0","0","0","1","18.8","18.8","5.1%"
"17","CeeDee Lamb (DAL)","6","8","112","18.7","35","0","0","0","0","0","0","1","17.2","17.2","99.6%"
"18","DeVante Parker (MIA)","8","11","85","10.6","23","0","0","0","0","0","0","1","16.5","16.5","47.9%"
"19","Randall Cobb (GB)","3","5","15","5.0","7","0","2","0","0","0","0","1","16.5","16.5","9.9%"
"20","Jamison Crowder (NYJ)","8","9","84","10.5","26","0","0","0","0","0","1","1","16.4","16.4","34.4%"
"21","Diontae Johnson (PIT)","6","13","98","16.3","50","0","0","0","0","0","0","1","15.8","15.8","98.0%"
"22","Jamal Agnew (JAC)","6","12","38","6.3","9","0","1","0","0","0","0","1","15.8","15.8","2.0%"
"23","Stefon Diggs (BUF)","5","7","40","8.0","19","0","1","0","0","0","0","1","15.0","15.0","100.0%"
"24","DeAndre Carter (WAS)","3","6","51","17.0","20","0","1","0","0","0","0","1","14.1","14.1","2.5%"
"25","Tee Higgins (CIN)","4","6","97","24.3","54","0","0","0","0","0","0","1","13.7","13.7","93.5%"
"26","Elijah Moore (NYJ)","6","6","67","11.2","24","0","0","1","4","0","0","1","13.1","13.1","65.7%"
"27","Ja'Marr Chase (CIN)","3","9","32","10.7","21","0","1","1","9","0","0","1","13.1","13.1","98.5%"
"28","Gabriel Davis (BUF)","4","5","29","7.3","11","0","1","0","0","0","0","1","12.9","12.9","2.8%"
"29","Mike Evans (TB)","2","4","48","24.0","41","0","1","0","0","0","0","1","12.8","12.8","99.0%"
"30","Darnell Mooney (CHI)","6","9","64","10.7","20","0","0","0","0","0","0","1","12.4","12.4","78.0%"
"31","Tre'Quan Smith (NO)","3","3","33","11.0","16","0","1","0","0","0","0","1","12.3","12.3","11.0%"
"32","Cyril Grayson Jr. (TB)","1","1","50","50.0","50","0","1","0","0","0","0","1","12.0","12.0","0.0%"
