"Rank","Player","REC","TGT","YDS","Y/R","LG","20+","TD","ATT","YDS","TD","FL","G","FPTS","FPTS/G","ROST"
"1","Davante Adams (GB)","11","16","206","18.7","59","0","1","0","0","0","0","1","37.6","37.6","100.0%"
"2","Mike Williams (LAC)","8","16","165","20.6","72","0","2","0","0","0","0","1","36.5","36.5","94.5%"
"3","Marquise Brown (BAL)","9","10","125","13.9","43","0","2","0","0","0","0","1","33.5","33.5","94.4%"
"4","Antonio Brown (TB)","7","8","124","17.7","62","0","2","0","0","0","0","1","31.4","31.4","66.3%"
"5","Kadarius Toney (NYG)","10","13","189","18.9","38","0","0","1","7","0","0","1","29.6","29.6","29.4%"
"6","Mike Evans (TB)","6","8","113","18.8","34","0","2","0","0","0","0","1","29.3","29.3","99.0%"
"7","Ja'Marr Chase (CIN)","6","10","159","26.5","70","0","1","0","0","0","0","1","27.9","27.9","98.5%"
"8","Robert Woods (LAR)","12","14","150","12.5","25","0","0","0","0","0","0","1","27.0","27.0","31.9%"
"9","D.K. Metcalf (SEA)","5","5","98","19.6","25","0","2","0","0","0","0","1","26.8","26.8","99.7%"
"10","Courtland Sutton (DEN)","7","11","120","17.1","39","0","1","0","0","0","0","1","25.0","25.0","77.0%"
"11","Marquez Callaway (NO)","4","8","85","21.3","49","0","2","0","0","0","0","1","24.5","24.5","27.9%"
"12","Chase Claypool (PIT)","5","6","130","26.0","59","0","1","0","0","0","0","1","24.0","24.0","88.0%"
"13","Chris Moore (HOU)","5","5","109","21.8","67","0","1","0","0","0","0","1","21.9","21.9","0.1%"
"14","Michael Pittman Jr. (IND)","6","7","89","14.8","42","0","1","0","0","0","0","1","20.9","20.9","92.4%"
"15","DeAndre Hopkins (ARI)","6","9","87","14.5","30","0","1","0","0","0","0","1","20.7","20.7","99.3%"
"16","Emmanuel Sanders (BUF)","3","5","54","18.0","35","0","2","0","0","0","0","1","20.4","20.4","58.4%"
"17","Justin Jefferson (MIN)","7","8","124","17.7","37","0","0","0","0","0","0","1","19.4","19.4","99.9%"
"18","CeeDee Lamb (DAL)","4","6","84","21.0","49","0","1","1","4","0","0","1","18.8","18.8","99.6%"
"19","Mecole Hardman (KC)","9","12","76","8.4","26","0","0","0","0","0","0","1","16.6","16.6","30.8%"
"20","Cooper Kupp (LAR)","7","10","92","13.1","33","0","0","0","0","0","0","1","16.2","16.2","100.0%"
"21","Deebo Samuel (SF)","3","9","58","19.3","26","0","0","1","13","1","0","1","16.1","16.1","98.4%"
"22","Tim Patrick (DEN)","7","9","89","12.7","23","0","0","0","0","0","0","1","15.9","15.9","20.7%"
"23","Chris Conley (HOU)","3","4","84","28.0","40","0","1","0","0","0","1","1","15.4","15.4","0.4%"
"24","Diontae Johnson (PIT)","2","2","72","36.0","50","0","1","0","0","0","0","1","15.2","15.2","98.0%"
"25","Amari Cooper (DAL)","3","6","60","20.0","24","0","1","0","0","0","0","1","15.0","15.0","97.7%"
"26","Tyreek Hill (KC)","7","13","63","9.0","17","0","0","1","15","0","0","1","14.8","14.8","100.0%"
"27","DeVonta Smith (PHI)","7","9","77","11.0","17","0","0","0","0","0","1","1","14.7","14.7","85.5%"
"28","Rondale Moore (ARI)","5","6","59","11.8","33","0","0","3","38","0","0","1","14.7","14.7","20.2%"
"29","Deonte Harris (NO)","1","1","72","72.0","72","0","1","0","0","0","0","1","14.2","14.2","6.9%"
"30","Chris Godwin (TB)","7","11","70","10.0","18","0","0","0","0","0","0","1","14.0","14.0","98.9%"
"31","Keenan Allen (LAC)","6","9","75","12.5","37","0","0","0","0","0","0","1","13.5","13.5","99.1%"
"32","Amon-Ra St. Brown (DET)","7","8","65","9.3","18","0","0","0","0","0","0","1","13.5","13.5","11.3%"
"33","Donovan Peoples-Jones (CLE)","5","6","70","14.0","42","0","0","0","0","0","0","1","12.0","12.0","9.5%"
"34","Rashard Higgins (CLE)","3","5","29","9.7","16","0","1","0","0","0","0","1","11.9","11.9","0.3%"
"35","Hunter Renfrow (LV)","6","8","56","9.3","17","0","0","0","0","0","0","1","11.6","11.6","85.6%"
"36","DeAndre Carter (WAS)","4","8","62","15.5","26","0","0","1","11","0","0","1","11.3","11.3","2.5%"
"37","Jamal Agnew (JAC)","6","7","41","6.8","8","0","0","1","8","0","0","1","10.9","10.9","2.0%"
"38","Tyler Lockett (SEA)","5","10","57","11.4","25","0","0","0","0","0","0","1","10.7","10.7","97.6%"
"39","Kendall Hinton (DEN)","2","3","25","12.5","23","0","1","0","0","0","0","1","10.5","10.5","0.0%"
"40","Tavon Austin (JAC)","5","5","54","10.8","22","0","0","0","0","0","0","1","10.4","10.4","0.1%"
"41","Adam Humphries (WAS)","3","5","73","24.3","27","0","0","0","0","0","0","1","10.3","10.3","0.3%"
"42","Tee Higgins (CIN)","5","7","32","6.4","10","0","0","0","0","0","0","1","10.2","10.2","93.5%"
"43","Christian Kirk (ARI)","5","5","39","7.8","9","0","0","1","11","0","0","1","10.0","10.0","59.4%"
"44","Preston Williams (MIA)","3","5","60","20.0","34","0","0","1","7","0","0","1","9.7","9.7","0.1%"
"45","Jakobi Meyers (NE)","4","5","56","14.0","24","0","0","0","0","0","0","1","9.6","9.6","63.1%"
"46","Parris Campbell (IND)","4","6","56","14.0","23","0","0","0","0","0","0","1","9.6","9.6","4.6%"
"47","Tajae Sharpe (ATL)","4","5","53","13.3","17","0","0","0","0","0","0","1","9.3","9.3","1.2%"
"48","Stefon Diggs (BUF)","2","5","69","34.5","61","0","0","0","0","0","0","1","8.9","8.9","100.0%"
"49","D.J. Moore (CAR)","5","7","42","8.4","14","0","0","1","-4","0","0","1","8.8","8.8","97.0%"
"50","Terry McLaurin (WAS)","4","11","46","11.5","18","0","0","0","0","0","0","1","8.6","8.6","98.9%"
"51","Devin Duvernay (BAL)","4","4","45","11.3","17","0","0","0","0","0","0","1","8.5","8.5","1.4%"
"52","Corey Davis (NYJ)","4","7","45","11.3","20","0","0","0","0","0","0","1","8.5","8.5","36.6%"
"53","Jamison Crowder (NYJ)","4","6","24","6.0","13","0","0","0","0","0","0","1","8.4","8.4","34.4%"
"54","Marcus Johnson (TEN)","3","5","52","17.3","22","0","0","0","0","0","0","1","8.2","8.2","0.6%"
