"Rank","Player","REC","TGT","YDS","Y/R","LG","20+","TD","ATT","YDS","TD","FL","G","FPTS","FPTS/G","ROST"
"1","Cooper Kupp (LAR)","9","11","163","18.1","44","0","2","1","-5","0","0","1","36.8","36.8","100.0%"
"2","Tyler Lockett (SEA)","8","11","178","22.3","63","0","1","0","0","0","0","1","31.8","31.8","97.6%"
"3","Terry McLaurin (WAS)","11","14","107","9.7","18","0","1","0","0","0","0","1","27.7","27.7","98.9%"
"4","Courtland Sutton (DEN)","9","12","159","17.7","55","0","0","0","0","0","0","1","24.9","24.9","77.0%"
"5","Mike Evans (TB)","5","9","75","15.0","26","0","2","0","0","0","0","1","24.5","24.5","99.0%"
"6","Rondale Moore (ARI)","7","8","114","16.3","77","0","1","0","0","0","0","1","24.4","24.4","20.2%"
"7","Marquise Brown (BAL)","6","10","113","18.8","42","0","1","0","0","0","0","1","23.3","23.3","94.4%"
"8","Brandin Cooks (HOU)","9","14","78","8.7","22","0","1","0","0","0","0","1","22.8","22.8","91.5%"
"9","Henry Ruggs III (FA)","5","7","113","22.6","61","0","1","1","2","0","0","1","22.5","22.5","10.9%"
"10","Mike Williams (LAC)","7","10","91","13.0","27","0","1","0","0","0","0","1","22.1","22.1","94.5%"
"11","D.J. Moore (CAR)","8","11","79","9.9","20","0","1","0","0","0","0","1","21.9","21.9","97.0%"
"12","Freddie Swain (SEA)","5","5","95","19.0","68","0","1","1","5","0","0","1","21.0","21.0","0.3%"
"13","Michael Pittman Jr. (IND)","8","12","123","15.4","42","0","0","0","0","0","0","1","20.3","20.3","92.4%"
"14","K.J. Osborn (MIN)","5","6","91","18.2","64","0","1","0","0","0","0","1","20.1","20.1","32.3%"
"15","Davante Adams (GB)","8","9","121","15.1","50","0","0","0","0","0","0","1","20.1","20.1","100.0%"
"16","Diontae Johnson (PIT)","9","12","105","11.7","41","0","0","0","0","0","0","1","19.5","19.5","98.0%"
"17","Calvin Ridley (ATL)","7","10","63","9.0","22","0","1","0","0","0","0","1","19.3","19.3","67.1%"
"18","Julio Jones (TEN)","6","8","128","21.3","51","0","0","0","0","0","0","1","18.8","18.8","75.8%"
"19","Justin Jefferson (MIN)","6","10","65","10.8","14","0","1","0","0","0","0","1","18.5","18.5","99.9%"
"20","Marvin Jones Jr. (JAC)","6","11","55","9.2","25","0","1","0","0","0","0","1","17.5","17.5","58.5%"
"21","Sterling Shepard (NYG)","9","10","94","10.4","21","0","0","1","-9","0","0","1","17.5","17.5","34.0%"
"22","CeeDee Lamb (DAL)","8","9","81","10.1","34","0","0","1","13","0","0","1","17.4","17.4","99.6%"
"23","JuJu Smith-Schuster (PIT)","6","7","41","6.8","17","0","0","1","3","1","0","1","16.4","16.4","19.2%"
"24","Quintez Cephus (DET)","4","7","63","15.8","46","0","1","0","0","0","0","1","16.3","16.3","0.8%"
"25","Chris Godwin (TB)","4","5","62","15.5","26","0","1","0","0","0","0","1","16.2","16.2","98.9%"
"26","Deebo Samuel (SF)","6","8","93","15.5","40","0","0","2","8","0","0","1","16.1","16.1","98.4%"
"27","Tee Higgins (CIN)","6","10","60","10.0","14","0","1","0","0","0","1","1","16.0","16.0","93.5%"
"28","Stefon Diggs (BUF)","4","8","60","15.0","41","0","1","0","0","0","0","1","16.0","16.0","100.0%"
"29","Adam Thielen (MIN)","6","7","39","6.5","15","0","1","0","0","0","0","1","15.9","15.9","97.2%"
"30","DeAndre Hopkins (ARI)","4","4","54","13.5","16","0","1","0","0","0","0","1","15.4","15.4","99.3%"
"31","Zach Pascal (IND)","5","6","38","7.6","9","0","1","0","0","0","0","1","14.8","14.8","4.2%"
"32","Keenan Allen (LAC)","4","8","108","27.0","42","0","0","0","0","0","0","1","14.8","14.8","99.1%"
"33","Darius Slayton (NYG)","3","6","54","18.0","33","0","1","0","0","0","0","1","14.4","14.4","4.7%"
"34","Braxton Berrios (NYJ)","7","11","73","10.4","27","0","0","0","0","0","0","1","14.3","14.3","0.3%"
"35","Byron Pringle (KC)","2","2","63","31.5","40","0","1","0","0","0","0","1","14.3","14.3","1.0%"
"36","Tyler Boyd (CIN)","7","9","73","10.4","22","0","0","0","0","0","0","1","14.3","14.3","65.3%"
"37","Quez Watkins (PHI)","2","2","117","58.5","91","0","0","0","0","0","0","1","13.7","13.7","1.4%"
"38","Demarcus Robinson (KC)","3","4","46","15.3","33","0","1","0","0","0","0","1","13.6","13.6","0.8%"
"39","A.J. Green (ARI)","3","6","44","14.7","29","0","1","0","0","0","0","1","13.4","13.4","33.5%"
"40","Brandon Zylstra (CAR)","3","3","44","14.7","20","0","1","0","0","0","0","1","13.4","13.4","0.1%"
"41","Ja'Marr Chase (CIN)","2","4","54","27.0","42","0","1","0","0","0","0","1","13.4","13.4","98.5%"
"42","Tim Patrick (DEN)","3","4","37","12.3","14","0","1","0","0","0","0","1","12.7","12.7","20.7%"
"43","Darnell Mooney (CHI)","6","8","66","11.0","21","0","0","0","0","0","0","1","12.6","12.6","78.0%"
"44","Robert Woods (LAR)","5","9","64","12.8","16","0","0","2","6","0","0","1","12.0","12.0","31.9%"
"45","Adam Humphries (WAS)","7","8","44","6.3","12","0","0","0","0","0","0","1","11.4","11.4","0.3%"
"46","D.K. Metcalf (SEA)","6","11","53","8.8","16","0","0","0","0","0","0","1","11.3","11.3","99.7%"
"47","Hunter Renfrow (LV)","5","7","57","11.4","23","0","0","0","0","0","0","1","10.7","10.7","85.6%"
"48","Mecole Hardman (KC)","5","8","55","11.0","19","0","0","0","0","0","0","1","10.5","10.5","30.8%"
"49","Allen Robinson II (CHI)","2","4","24","12.0","13","0","1","0","0","0","0","1","10.4","10.4","60.8%"
"50","Chase Claypool (PIT)","3","9","70","23.3","52","0","0","1","-3","0","0","1","9.7","9.7","88.0%"
"51","Jauan Jennings (SF)","2","2","17","8.5","11","0","1","0","0","0","0","1","9.7","9.7","0.6%"
"52","Christian Kirk (ARI)","3","4","65","21.7","35","0","0","0","0","0","0","1","9.5","9.5","59.4%"
"53","DeVante Parker (MIA)","5","9","42","8.4","16","0","0","0","0","0","0","1","9.2","9.2","47.9%"
"54","Jaylen Waddle (MIA)","6","8","48","8.0","14","0","0","0","0","0","1","1","8.8","8.8","92.8%"
"55","Elijah Moore (NYJ)","4","8","47","11.8","27","0","0","0","0","0","0","1","8.7","8.7","65.7%"
"56","Sammy Watkins (BAL)","4","7","44","11.0","19","0","0","0","0","0","0","1","8.4","8.4","8.5%"
"57","Russell Gage (ATL)","5","7","28","5.6","8","0","0","0","0","0","0","1","7.8","7.8","48.8%"
"58","Jakobi Meyers (NE)","4","6","38","9.5","24","0","0","0","0","0","0","1","7.8","7.8","63.1%"
"59","Cole Beasley (BUF)","4","4","36","9.0","22","0","0","0","0","0","0","1","7.6","7.6","67.9%"
"60","A.J. Brown (TEN)","3","9","43","14.3","15","0","0","0","0","0","0","1","7.3","7.3","90.7%"
"61","Bryan Edwards (LV)","3","3","40","13.3","18","0","0","0","0","0","0","1","7.0","7.0","9.6%"
"62","Emmanuel Sanders (BUF)","2","6","48","24.0","35","0","0","0","0","0","0","1","6.8","6.8","58.4%"
"63","Robby Anderson (CAR)","3","6","38","12.7","18","0","0","0","0","0","0","1","6.8","6.8","40.0%"
"64","Kenny Golladay (NYG)","3","8","38","12.7","16","0","0","0","0","0","0","1","6.8","6.8","55.6%"
"65","Dyami Brown (WAS)","3","6","34","11.3","22","0","0","0","0","0","0","1","6.4","6.4","0.4%"
"66","Albert Wilson (MIA)","4","6","20","5.0","6","0","0","0","0","0","0","1","6.0","6.0","0.2%"
