"Rank","Player","REC","TGT","YDS","Y/R","LG","20+","TD","ATT","YDS","TD","FL","G","FPTS","FPTS/G","ROST"
"1","Deebo Samuel (SF)","5","5","97","19.4","40","0","1","5","36","1","0","1","25.3","25.3","98.4%"
"2","CeeDee Lamb (DAL)","6","7","94","15.7","37","0","2","1","12","0","0","1","22.6","22.6","99.6%"
"3","Stefon Diggs (BUF)","8","13","162","20.3","57","0","1","0","0","0","0","1","22.2","22.2","100.0%"
"4","Tyreek Hill (KC)","7","10","83","11.9","32","0","2","1","2","0","0","1","20.5","20.5","100.0%"
"5","Kendrick Bourne (NE)","4","4","98","24.5","48","0","1","3","43","0","0","1","20.1","20.1","29.2%"
"6","DeVonta Smith (PHI)","4","6","66","16.5","36","0","2","0","0","0","0","1","18.6","18.6","86.1%"
"7","Bryan Edwards (LV)","3","4","88","29.3","37","0","1","0","0","0","0","1","14.8","14.8","10.1%"
"8","Justin Jefferson (MIN)","9","11","143","15.9","27","0","0","1","-4","0","0","1","13.9","13.9","99.9%"
"9","Jamal Agnew (JAC)","0","5","0","0","0","0","0","3","79","1","0","1","13.9","13.9","2.0%"
"10","Cooper Kupp (LAR)","11","13","122","11.1","29","0","0","0","0","0","0","1","12.2","12.2","100.0%"
"11","Mike Evans (TB)","2","3","62","31.0","40","0","1","0","0","0","0","1","12.2","12.2","99.0%"
"12","DeAndre Carter (WAS)","3","6","56","18.7","22","0","1","1","4","0","0","1","12.0","12.0","2.5%"
"13","Jakobi Meyers (NE)","4","4","49","12.3","26","0","1","0","0","0","0","1","10.9","10.9","63.8%"
"14","Byron Pringle (KC)","4","5","46","11.5","22","0","1","0","0","0","0","1","10.6","10.6","1.0%"
"15","Hunter Renfrow (LV)","7","9","46","6.6","15","0","1","0","0","0","0","1","10.6","10.6","85.5%"
"16","Albert Wilson (MIA)","4","5","87","21.8","64","0","0","2","19","0","0","1","10.6","10.6","0.2%"
"17","Gabriel Davis (BUF)","3","3","105","35.0","49","0","0","0","0","0","0","1","10.5","10.5","2.8%"
"18","Elijah Moore (NYJ)","3","6","44","14.7","25","0","1","0","0","0","0","1","10.4","10.4","75.7%"
"19","Tre'Quan Smith (NO)","4","7","44","11.0","21","0","1","0","0","0","0","1","10.4","10.4","11.1%"
"20","Marcus Johnson (TEN)","5","6","100","20.0","50","0","0","0","0","0","0","1","10.0","10.0","0.6%"
"21","Keenan Allen (LAC)","8","11","98","12.3","26","0","0","0","0","0","0","1","9.8","9.8","99.1%"
"22","Robby Anderson (CAR)","4","6","37","9.3","17","0","1","0","0","0","0","1","9.7","9.7","40.1%"
"23","Marquez Callaway (NO)","2","4","37","18.5","22","0","1","0","0","0","0","1","9.7","9.7","28.1%"
"24","Isaiah McKenzie (BUF)","1","3","12","12.0","12","0","0","2","17","1","0","1","8.9","8.9","0.2%"
"25","Isaiah Ford (MIA)","4","4","84","21.0","52","0","0","0","0","0","0","1","8.4","8.4","0.0%"
"26","Rashod Bateman (BAL)","6","8","80","13.3","30","0","0","0","0","0","0","1","8.0","8.0","31.5%"
"27","Davante Adams (GB)","7","11","78","11.1","34","0","0","0","0","0","0","1","7.8","7.8","100.0%"
"28","James Washington (PIT)","2","6","15","7.5","9","0","1","0","0","0","0","1","7.5","7.5","1.0%"
"29","Corey Davis (NYJ)","5","7","93","18.6","28","0","0","0","0","0","1","1","7.3","7.3","38.2%"
"30","Michael Pittman Jr. (IND)","5","5","71","14.2","27","0","0","0","0","0","0","1","7.1","7.1","92.5%"
"31","Deonte Harris (NO)","3","4","84","28.0","46","0","0","1","6","0","1","1","7.0","7.0","7.0%"
"32","Adam Thielen (MIN)","5","7","65","13.0","19","0","0","0","0","0","0","1","6.5","6.5","97.2%"
"33","Ray-Ray McCloud (PIT)","9","12","63","7.0","17","0","0","0","0","0","0","1","6.3","6.3","0.4%"
"34","Diontae Johnson (PIT)","7","13","83","11.9","36","0","0","0","0","0","1","1","6.3","6.3","98.0%"
"35","Amon-Ra St. Brown (DET)","4","6","61","15.3","30","0","0","0","0","0","0","1","6.1","6.1","10.6%"
"36","Jaylen Waddle (MIA)","4","6","61","15.3","35","0","0","0","0","0","0","1","6.1","6.1","92.8%"
"37","Terry McLaurin (WAS)","6","8","59","9.8","21","0","0","0","0","0","0","1","5.9","5.9","98.9%"
"38","Christian Kirk (ARI)","7","8","58","8.3","20","0","0","0","0","0","0","1","5.8","5.8","59.7%"
"39","Chris Godwin (TB)","7","8","57","8.1","15","0","0","0","0","0","0","1","5.7","5.7","98.9%"
"40","Van Jefferson (LAR)","3","7","54","18.0","33","0","0","0","0","0","0","1","5.4","5.4","70.2%"
"41","Amari Cooper (DAL)","4","4","51","12.8","22","0","0","0","0","0","0","1","5.1","5.1","97.7%"
"42","Emmanuel Sanders (BUF)","2","2","27","13.5","16","0","0","1","24","0","0","1","5.1","5.1","58.6%"
"43","Jerry Jeudy (DEN)","6","9","48","8.0","15","0","0","1","3","0","0","1","5.1","5.1","81.5%"
"44","Devin Duvernay (BAL)","4","4","28","7.0","11","0","0","1","19","0","0","1","4.7","4.7","1.4%"
