"Rank","Player","REC","TGT","YDS","Y/R","LG","20+","TD","ATT","YDS","TD","FL","G","FPTS","FPTS/G","ROST"
"1","Justin Jefferson (MIN)","8","10","169","21.1","56","0","2","1","3","0","0","1","37.2","37.2","99.9%"
"2","Davante Adams (GB)","7","8","115","16.4","37","0","2","0","0","0","0","1","30.5","30.5","100.0%"
"3","Elijah Moore (NYJ)","8","11","141","17.6","62","0","1","1","15","0","0","1","29.6","29.6","65.7%"
"4","Darnell Mooney (CHI)","5","16","121","24.2","60","0","1","0","0","0","0","1","23.1","23.1","78.0%"
"5","Diontae Johnson (PIT)","7","13","101","14.4","32","0","1","0","0","0","0","1","23.1","23.1","98.0%"
"6","Marquez Valdes-Scantling (GB)","4","10","123","30.8","75","0","1","0","0","0","0","1","22.3","22.3","34.7%"
"7","Adam Thielen (MIN)","8","10","82","10.3","26","0","1","0","0","0","0","1","22.2","22.2","97.2%"
"8","Brandon Aiyuk (SF)","7","7","85","12.1","34","0","1","0","0","0","0","1","21.5","21.5","88.3%"
"9","Terry McLaurin (WAS)","5","7","103","20.6","39","0","1","0","0","0","0","1","21.3","21.3","98.9%"
"10","Mike Williams (LAC)","5","6","97","19.4","53","0","1","0","0","0","0","1","20.7","20.7","94.5%"
"11","Jaylen Waddle (MIA)","8","9","65","8.1","15","0","0","1","1","1","0","1","20.6","20.6","92.8%"
"12","Marquise Goodwin (CHI)","4","8","104","26.0","49","0","1","0","0","0","0","1","20.4","20.4","0.7%"
"13","Mike Evans (TB)","6","11","73","12.2","21","0","1","1","10","0","0","1","20.3","20.3","99.0%"
"14","Keenan Allen (LAC)","9","13","112","12.4","30","0","0","0","0","0","0","1","20.2","20.2","99.1%"
"15","Tyreek Hill (KC)","9","11","77","8.6","23","0","0","1","33","0","0","1","20.0","20.0","100.0%"
"16","Chris Godwin (TB)","6","6","65","10.8","18","0","1","1","7","0","0","1","19.2","19.2","98.9%"
"17","Stefon Diggs (BUF)","4","6","23","5.8","9","0","2","0","0","0","0","1","18.3","18.3","100.0%"
"18","Nick Westbrook-Ikhine (TEN)","7","8","107","15.3","46","0","0","0","0","0","0","1","17.7","17.7","16.3%"
"19","Jamison Crowder (NYJ)","6","7","44","7.3","15","0","1","0","0","0","0","1","16.4","16.4","34.4%"
"20","Deebo Samuel (SF)","1","2","15","15.0","15","0","0","8","79","1","0","1","16.4","16.4","98.4%"
"21","Rondale Moore (ARI)","11","11","51","4.6","11","0","0","0","0","0","0","1","16.1","16.1","20.2%"
"22","D.J. Moore (CAR)","5","7","50","10.0","13","0","1","0","0","0","0","1","16.0","16.0","97.0%"
"23","Tyler Lockett (SEA)","4","5","115","28.8","48","0","0","0","0","0","0","1","15.5","15.5","97.6%"
"24","Mack Hollins (MIA)","2","3","72","36.0","65","0","1","0","0","0","0","1","15.2","15.2","0.2%"
"25","Nelson Agholor (NE)","5","5","40","8.0","19","0","1","0","0","0","0","1","15.0","15.0","15.1%"
"26","Chase Claypool (PIT)","5","9","93","18.6","37","0","0","2","1","0","0","1","14.4","14.4","88.0%"
"27","Jarvis Landry (CLE)","4","8","26","6.5","13","0","0","1","16","1","0","1","14.2","14.2","76.4%"
"28","Ja'Marr Chase (CIN)","3","6","32","10.7","17","0","1","2","8","0","0","1","13.0","13.0","98.5%"
"29","Dez Fitzpatrick (TEN)","3","6","35","11.7","18","0","1","0","0","0","0","1","12.5","12.5","0.6%"
"30","Tyler Boyd (CIN)","6","8","49","8.2","14","0","0","1","14","0","0","1","12.3","12.3","65.3%"
"31","A.J. Green (ARI)","4","7","78","19.5","31","0","0","0","0","0","0","1","11.8","11.8","33.5%"
"32","Tre'Quan Smith (NO)","5","8","64","12.8","22","0","0","0","0","0","0","1","11.4","11.4","11.0%"
"33","Kadarius Toney (NYG)","7","12","40","5.7","8","0","0","0","0","0","0","1","11.0","11.0","29.4%"
"34","DeVonta Smith (PHI)","4","6","61","15.3","33","0","0","0","0","0","0","1","10.1","10.1","85.5%"
"35","Russell Gage (ATL)","5","8","49","9.8","19","0","0","0","0","0","0","1","9.9","9.9","48.8%"
"36","DeAndre Carter (WAS)","2","3","22","11.0","18","0","1","1","-3","0","0","1","9.9","9.9","2.5%"
"37","Cam Sims (WAS)","2","2","19","9.5","13","0","1","0","0","0","0","1","9.9","9.9","0.1%"
"38","A.J. Brown (TEN)","5","9","48","9.6","11","0","0","0","0","0","0","1","9.8","9.8","90.7%"
"39","Marquez Callaway (NO)","1","4","26","26.0","26","0","1","0","0","0","0","1","9.6","9.6","27.9%"
"40","Michael Gallup (DAL)","5","10","44","8.8","16","0","0","0","0","0","0","1","9.4","9.4","78.9%"
"41","Marvin Jones Jr. (JAC)","4","6","52","13.0","22","0","0","0","0","0","0","1","9.2","9.2","58.5%"
"42","Kendrick Bourne (NE)","4","4","42","10.5","19","0","0","1","7","0","0","1","8.9","8.9","29.0%"
"43","Antoine Wesley (ARI)","4","4","44","11.0","20","0","0","0","0","0","0","1","8.4","8.4","0.1%"
"44","Robby Anderson (CAR)","5","6","30","6.0","11","0","0","0","0","0","0","1","8.0","8.0","40.0%"
"45","Laviska Shenault Jr. (JAC)","5","5","50","10.0","16","0","0","0","0","0","1","1","8.0","8.0","38.2%"
"46","Jakobi Meyers (NE)","4","6","39","9.8","18","0","0","0","0","0","0","1","7.9","7.9","63.1%"
"47","Sammy Watkins (BAL)","3","4","48","16.0","29","0","0","0","0","0","0","1","7.8","7.8","8.5%"
"48","Devin Duvernay (BAL)","4","6","37","9.3","21","0","0","0","0","0","0","1","7.7","7.7","1.4%"
"49","Chris Conley (HOU)","4","5","37","9.3","13","0","0","0","0","0","0","1","7.7","7.7","0.4%"
"50","Cedrick Wilson Jr. (DAL)","4","7","36","9.0","18","0","0","0","0","0","0","1","7.6","7.6","5.1%"
"51","Hunter Renfrow (LV)","4","4","30","7.5","9","0","0","1","5","0","0","1","7.5","7.5","85.6%"
"52","Lil'Jordan Humphrey (NO)","1","1","4","4.0","4","0","1","0","0","0","0","1","7.4","7.4","0.2%"
"53","Equanimeous St. Brown (GB)","2","2","43","21.5","26","0","0","1","11","0","0","1","7.4","7.4","0.1%"
"54","D.K. Metcalf (SEA)","4","8","31","7.8","14","0","0","0","0","0","0","1","7.1","7.1","99.7%"
"55","Ja'Marcus Bradley (FA)","2","2","46","23.0","37","0","0","0","0","0","0","1","6.6","6.6","0.0%"
"56","Corey Davis (NYJ)","3","7","35","11.7","14","0","0","0","0","0","0","1","6.5","6.5","36.6%"
"57","Cole Beasley (BUF)","4","5","23","5.8","7","0","0","0","0","0","0","1","6.3","6.3","67.9%"
"58","Chester Rogers (TEN)","4","6","41","10.3","12","0","0","0","0","0","1","1","6.1","6.1","0.7%"
"59","Rashod Bateman (BAL)","3","6","29","9.7","15","0","0","0","0","0","0","1","5.9","5.9","30.5%"
"60","Amon-Ra St. Brown (DET)","4","4","18","4.5","10","0","0","0","0","0","0","1","5.8","5.8","11.3%"
"61","Darius Slayton (NYG)","4","7","37","9.3","21","0","0","0","0","0","1","1","5.7","5.7","4.7%"
"62","Emmanuel Sanders (BUF)","3","5","26","8.7","10","0","0","0","0","0","0","1","5.6","5.6","58.4%"
"63","Olamide Zaccheaus (ATL)","3","5","23","7.7","9","0","0","0","0","0","0","1","5.3","5.3","0.8%"
"64","Jamal Agnew (JAC)","3","3","18","6.0","8","0","0","1","2","0","0","1","5.0","5.0","2.0%"
"65","Adam Humphries (WAS)","2","2","30","15.0","18","0","0","0","0","0","0","1","5.0","5.0","0.3%"
"66","Gabriel Davis (BUF)","2","4","27","13.5","20","0","0","0","0","0","0","1","4.7","4.7","2.8%"
"67","Byron Pringle (KC)","1","2","37","37.0","37","0","0","0","0","0","0","1","4.7","4.7","1.0%"
"68","T.Y. Hilton (IND)","2","2","26","13.0","18","0","0","0","0","0","0","1","4.6","4.6","19.3%"
"69","Christian Kirk (ARI)","2","5","25","12.5","14","0","0","0","0","0","0","1","4.5","4.5","59.4%"
"70","Albert Wilson (MIA)","3","4","18","6.0","9","0","0","1","-3","0","0","1","4.5","4.5","0.2%"
"71","Mecole Hardman (KC)","2","3","25","12.5","13","0","0","0","0","0","0","1","4.5","4.5","30.8%"
"72","CeeDee Lamb (DAL)","3","4","14","4.7","8","0","0","0","0","0","0","1","4.4","4.4","99.6%"
"73","Michael Pittman Jr. (IND)","2","5","23","11.5","18","0","0","0","0","0","0","1","4.3","4.3","92.4%"
"74","Tajae Sharpe (ATL)","2","4","21","10.5","17","0","0","0","0","0","0","1","4.1","4.1","1.2%"
"75","Brandin Cooks (HOU)","2","3","18","9.0","10","0","0","0","0","0","0","1","3.8","3.8","91.5%"
"76","Ray-Ray McCloud (PIT)","2","2","12","6.0","8","0","0","1","5","0","0","1","3.7","3.7","0.4%"
"77","Breshad Perriman (TB)","2","4","19","9.5","14","0","0","1","-3","0","0","1","3.6","3.6","0.8%"
"78","Tee Higgins (CIN)","2","3","15","7.5","9","0","0","0","0","0","0","1","3.5","3.5","93.5%"
"79","N'Keal Harry (NE)","2","2","14","7.0","9","0","0","0","0","0","0","1","3.4","3.4","0.2%"
"80","J.J. Arcega-Whiteside (PHI)","1","1","23","23.0","23","0","0","0","0","0","0","1","3.3","3.3","0.1%"
"81","Joshua Palmer (LAC)","1","1","17","17.0","17","0","0","1","6","0","0","1","3.3","3.3","1.6%"
"82","James Washington (PIT)","2","3","12","6.0","7","0","0","0","0","0","0","1","3.2","3.2","1.0%"
