"Rank","Player","REC","TGT","YDS","Y/R","LG","20+","TD","ATT","YDS","TD","FL","G","FPTS","FPTS/G","ROST"
"76","Joshua Palmer (LAC)","33","49","353","10.7","36","0","4","1","6","0","0","15","92.9","6.2","3.8%"
"77","Michael Gallup (DAL)","35","62","445","12.7","41","0","2","0","0","0","0","9","91.5","10.2","85.6%"
"78","Olamide Zaccheaus (ATL)","31","53","406","13.1","49","0","3","1","2","0","0","15","89.8","6.0","1.0%"
"79","Kenny Golladay (NYG)","37","76","521","14.1","36","0","0","0","0","0","0","14","89.1","6.4","64.1%"
"80","Tre'Quan Smith (NO)","32","50","377","11.8","34","0","3","0","0","0","0","10","87.7","8.8","1.0%"
"81","Marquez Valdes-Scantling (KC)","26","55","430","16.5","75","0","3","0","0","0","0","11","87.0","7.9","71.9%"
"82","Allen Robinson II (LAR)","38","66","410","10.8","39","0","1","0","0","0","0","12","87.0","7.3","89.8%"
"83","DeAndre Carter (LAC)","24","44","296","12.3","26","0","3","10","89","0","0","17","86.5","5.1","0.6%"
"84","Freddie Swain (SEA)","25","40","343","13.7","68","0","4","5","32","0","0","17","86.5","5.1","0.2%"
"85","Jerry Jeudy (DEN)","38","56","467","12.3","40","0","0","2","3","0","0","10","85.0","8.5","93.5%"
"86","Henry Ruggs III (FA)","24","36","469","19.5","61","0","2","3","16","0","0","7","84.5","12.1","10.9%"
"87","Nico Collins (HOU)","33","60","446","13.5","32","0","1","0","0","0","0","14","83.6","6.0","2.7%"
"88","Kadarius Toney (NYG)","39","57","420","10.8","38","0","0","3","6","0","0","9","82.4","9.2","84.8%"
"89","Laquon Treadwell (JAC)","33","51","434","13.2","41","0","1","0","0","0","0","12","82.4","6.9","0.3%"
"90","Jauan Jennings (SF)","24","38","282","11.8","34","0","5","0","0","0","0","13","82.2","6.3","1.1%"
"91","Josh Reynolds (DET)","29","49","396","13.7","39","0","2","0","0","0","0","11","80.6","7.3","0.8%"
"92","Julio Jones (FA)","31","48","434","14.0","51","0","1","0","0","0","0","10","80.4","8.0","12.8%"
"93","Adam Humphries (FA)","41","62","383","9.3","27","0","0","0","0","0","0","17","79.3","4.7","0.6%"
"94","Keelan Cole Sr. (LV)","28","51","449","16.0","54","0","1","0","0","0","0","14","78.9","5.6","0.2%"
"95","Jalen Reagor (PHI)","33","57","299","9.1","34","0","2","10","32","0","0","17","78.1","4.6","1.1%"
"96","Sterling Shepard (NYG)","36","53","366","10.2","37","0","1","1","-9","0","0","7","77.7","11.1","8.9%"
"97","Devin Duvernay (BAL)","33","47","272","8.2","21","0","2","7","50","0","0","16","77.2","4.8","1.3%"
"98","Jamal Agnew (JAC)","24","39","229","9.5","29","0","1","7","111","1","0","12","76.0","6.3","0.3%"
"99","DeSean Jackson (FA)","20","34","454","22.7","75","0","2","1","4","0","1","14","75.8","5.4","2.8%"
"100","T.Y. Hilton (FA)","23","37","331","14.4","52","0","3","0","0","0","0","10","74.1","7.4","0.9%"
"101","Tyler Johnson (TB)","36","55","360","10.0","31","0","0","0","0","0","0","16","72.0","4.5","0.6%"
"102","Calvin Ridley (ATL)","31","52","281","9.1","22","0","2","0","0","0","0","5","71.1","14.2","1.6%"
"103","Sammy Watkins (GB)","27","49","394","14.6","49","0","1","0","0","0","1","11","70.4","6.4","7.1%"
"104","Demarcus Robinson (LV)","25","41","264","10.6","33","0","3","0","0","0","0","15","69.4","4.6","0.5%"
"105","Danny Amendola (FA)","24","38","248","10.3","39","0","3","0","0","0","0","8","68.8","8.6","0.1%"
"106","Darius Slayton (NYG)","26","58","339","13.0","42","0","2","1","-13","0","1","13","68.6","5.3","1.2%"
"107","Ray-Ray McCloud (SF)","39","66","277","7.1","24","0","0","2","15","0","1","16","66.2","4.1","0.3%"
"108","James Washington (DAL)","24","44","285","11.9","42","0","2","2","13","0","0","15","65.8","4.4","5.8%"
"109","Chester Rogers (FA)","30","43","301","10.0","39","0","1","1","9","0","1","16","65.0","4.1","1.0%"
"110","Damiere Byrd (ATL)","26","38","329","12.7","54","0","1","0","0","0","1","11","64.9","5.9","0.2%"
"111","Chris Conley (HOU)","22","37","323","14.7","41","0","2","1","3","0","1","14","64.6","4.6","0.5%"
"112","Mack Hollins (LV)","14","28","223","15.9","65","0","4","0","0","0","0","16","60.3","3.8","0.2%"
"113","Antoine Wesley (ARI)","19","32","208","10.9","33","0","3","0","0","0","0","8","57.8","7.2","0.3%"
"114","Rashard Higgins (CAR)","24","47","275","11.5","21","0","1","0","0","0","0","12","57.5","4.8","0.7%"
"115","Marquise Goodwin (FA)","20","40","313","15.7","50","0","1","2","-1","0","0","14","57.2","4.1","0.1%"
"116","Chris Moore (HOU)","21","22","227","10.8","67","0","2","0","0","0","0","10","55.7","5.6","0.0%"
"117","Isaiah McKenzie (BUF)","20","26","178","8.9","28","0","1","9","47","1","1","15","52.5","3.5","0.9%"
"118","Tavon Austin (FA)","24","38","213","8.9","25","0","1","3","21","0","1","12","51.4","4.3","0.0%"
"119","Lil'Jordan Humphrey (FA)","13","18","249","19.2","56","0","2","0","0","0","0","8","49.9","6.2","0.1%"
"120","Quintez Cephus (DET)","15","22","204","13.6","46","0","2","0","0","0","0","5","49.4","9.9","0.8%"
"121","Brandon Zylstra (CAR)","18","25","250","13.9","55","0","1","0","0","0","0","12","49.0","4.1","0.1%"
"122","Cam Sims (WAS)","15","23","211","14.1","43","0","2","1","7","0","0","12","48.8","4.1","0.1%"
"123","Albert Wilson (MIA)","25","39","213","8.5","64","0","0","4","17","0","0","10","48.0","4.8","1.0%"
"124","Tajae Sharpe (CHI)","25","37","230","9.2","17","0","0","0","0","0","0","14","48.0","3.4","0.1%"
"125","Ashton Dulin (IND)","13","22","173","13.3","62","0","2","3","32","0","0","16","45.5","2.8","0.3%"
"126","Malik Turner (SF)","12","16","149","12.4","61","0","3","0","0","0","0","7","44.9","6.4","0.1%"
"127","Cyril Grayson Jr. (TB)","10","12","212","21.2","62","0","2","1","14","0","0","3","44.6","14.9","0.1%"
"128","John Ross (FA)","11","20","224","20.4","51","0","1","1","16","0","0","9","41.0","4.6","0.1%"
"129","Isaiah Ford (MIA)","12","16","161","13.4","52","0","2","0","0","0","0","9","40.1","4.5","0.0%"
"130","Jakeem Grant Sr. (CLE)","11","17","132","12.0","46","0","2","5","33","0","3","15","39.5","2.6","0.3%"
"131","Kendall Hinton (DEN)","15","23","175","11.7","40","0","1","0","0","0","0","11","38.5","3.5","0.1%"
"132","James Proche II (BAL)","16","20","202","12.6","32","0","0","0","0","0","0","7","36.2","5.2","0.3%"
"133","JuJu Smith-Schuster (KC)","15","28","129","8.6","24","0","0","3","9","1","0","5","34.8","7.0","93.1%"
"134","Greg Ward (PHI)","7","11","95","13.6","27","0","3","0","0","0","0","10","34.6","3.5","0.1%"
