"Rank","Player","REC","TGT","YDS","Y/R","LG","20+","TD","ATT","YDS","TD","FL","G","FPTS","FPTS/G","ROST"
"1","Mike Williams (LAC)","7","9","122","17.4","43","0","2","0","0","0","0","1","33.2","33.2","94.5%"
"2","Davante Adams (GB)","12","18","132","11.0","25","0","1","0","0","0","0","1","31.2","31.2","100.0%"
"3","Cooper Kupp (LAR)","9","12","96","10.7","22","0","2","0","0","0","0","1","30.6","30.6","100.0%"
"4","Justin Jefferson (MIN)","9","11","118","13.1","28","0","1","0","0","0","0","1","26.8","26.8","99.9%"
"5","Emmanuel Sanders (BUF)","5","6","94","18.8","41","0","2","0","0","0","0","1","26.4","26.4","58.4%"
"6","D.K. Metcalf (SEA)","6","9","107","17.8","28","0","1","0","0","0","0","1","22.7","22.7","99.7%"
"7","Ja'Marr Chase (CIN)","4","5","65","16.3","34","0","2","0","0","0","0","1","22.5","22.5","98.5%"
"8","Kendrick Bourne (NE)","6","8","96","16.0","31","0","1","0","0","0","0","1","21.6","21.6","29.0%"
"9","DeSean Jackson (LV)","3","5","120","40.0","75","0","1","0","0","0","0","1","21.0","21.0","6.3%"
"10","Cole Beasley (BUF)","11","13","98","8.9","22","0","0","0","0","0","0","1","20.8","20.8","67.9%"
"11","Brandin Cooks (HOU)","9","11","112","12.4","30","0","0","1","5","0","0","1","20.7","20.7","91.5%"
"12","D.J. Moore (CAR)","8","12","126","15.8","29","0","0","1","-1","0","0","1","20.5","20.5","97.0%"
"13","Chris Godwin (TB)","6","7","74","12.3","21","0","0","1","2","1","0","1","19.6","19.6","98.9%"
"14","Keenan Allen (LAC)","8","12","50","6.3","15","0","1","0","0","0","0","1","19.0","19.0","99.1%"
"15","Hunter Renfrow (LV)","5","6","77","15.4","25","0","1","0","0","0","0","1","18.7","18.7","85.6%"
"16","Mike Evans (TB)","8","10","106","13.3","20","0","0","0","0","0","0","1","18.6","18.6","99.0%"
"17","Chase Claypool (PIT)","9","15","96","10.7","29","0","0","0","0","0","0","1","18.6","18.6","88.0%"
"18","Jakobi Meyers (NE)","9","14","94","10.4","27","0","0","0","0","0","0","1","18.4","18.4","63.1%"
"19","Jaylen Waddle (MIA)","12","13","58","4.8","9","0","0","0","0","0","0","1","17.8","17.8","92.8%"
"20","Christian Kirk (ARI)","7","8","104","14.9","33","0","0","0","0","0","0","1","17.4","17.4","59.4%"
"21","Adam Thielen (MIN)","6","9","50","8.3","21","0","1","0","0","0","0","1","17.0","17.0","97.2%"
"22","A.J. Green (ARI)","5","6","112","22.4","36","0","0","0","0","0","0","1","16.2","16.2","33.5%"
"23","Marquez Valdes-Scantling (GB)","3","4","59","19.7","47","0","1","0","0","0","0","1","14.9","14.9","34.7%"
"24","Tim Patrick (DEN)","5","5","98","19.6","31","0","0","0","0","0","0","1","14.8","14.8","20.7%"
"25","Brandon Aiyuk (SF)","4","6","37","9.3","16","0","1","1","8","0","0","1","14.5","14.5","88.3%"
"26","Calvin Ridley (ATL)","8","11","61","7.6","20","0","0","0","0","0","0","1","14.1","14.1","67.1%"
"27","Marquez Callaway (NO)","4","5","41","10.3","13","0","1","0","0","0","0","1","14.1","14.1","27.9%"
"28","D.J. Chark Jr. (JAC)","3","6","49","16.3","25","0","1","0","0","0","0","1","13.9","13.9","18.0%"
"29","Odell Beckham Jr. (LAR)","5","9","77","15.4","26","0","0","1","10","0","0","1","13.7","13.7","90.4%"
"30","Tyler Boyd (CIN)","4","6","36","9.0","17","0","1","0","0","0","0","1","13.6","13.6","65.3%"
"31","Michael Pittman Jr. (IND)","6","12","68","11.3","18","0","0","1","5","0","0","1","13.3","13.3","92.4%"
"32","Nick Westbrook-Ikhine (TEN)","4","4","53","13.3","18","0","1","0","0","0","1","1","13.3","13.3","16.3%"
"33","Kalif Raymond (DET)","6","10","68","11.3","22","0","0","0","0","0","0","1","12.8","12.8","4.0%"
